mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	0	3.0	5	12/16	3/4	0					firstMeasure	2
2	2	3	2.0	5	2/4	1/2	0						3
3	3	5	3.0	5	12/16	3/4	0						4
4	4	8	2.0	5	2/4	1/2	0				line		5
5	5	10	3.0	5	12/16	3/4	0						6
6	6	13	5.0	5	12/16	5/4	0						7
7	7	18	2.0	5	2/4	1/2	0						8
8	8	20	2.0	5	2/4	1/2	0						9
9	9	22	2.0	5	2/4	1/2	0						10
10	10	24	3.0	5	12/16	3/4	0						11
11	11	27	3.0	5	12/16	3/4	0						12
12	12	30	3.0	5	12/16	3/4	0				line		13
13	13	33	3.0	5	12/16	3/4	0						14
14	14	36	3.0	5	12/16	3/4	0						15
15	15	39	3.0	5	12/16	3/4	0				line		16
16	16	42	3.0	5	12/16	3/4	0						17
17	17	45	1.5	5	6/16	3/8	0						18
18	18	93/2	3.0	5	12/16	3/4	0						19
19	19	99/2	3.0	5	12/16	3/4	0				line		20
20	20	105/2	3.0	5	12/16	3/4	0						21
21	21	111/2	3.0	5	12/16	3/4	0						22
22	22	117/2	3.0	5	12/16	3/4	0				line		23
23	23	123/2	3.0	5	12/16	3/4	0						24
24	24	129/2	3.0	5	12/16	3/4	0						25
25	25	135/2	3.0	5	12/16	3/4	0				line		26
26	26	141/2	3.0	5	12/16	3/4	0						27
27	27	147/2	3.0	5	12/16	3/4	0						28
28	28	153/2	3.0	5	12/16	3/4	0				line		29
29	29	159/2	3.0	5	12/16	3/4	0						30
30	30	165/2	3.0	5	12/16	3/4	0						31
31	31	171/2	3.0	5	12/16	3/4	0				line		32
32	32	177/2	3.0	5	12/16	3/4	0						33
33	33	183/2	3.0	5	12/16	3/4	0						34
34	34	189/2	3.0	5	12/16	3/4	0				line		35
35	35	195/2	3.0	5	12/16	3/4	0						36
36	36	201/2	3.0	5	12/16	3/4	0						37
37	37	207/2	3.0	5	12/16	3/4	0				line		38
38	38	213/2	3.0	5	12/16	3/4	0						39
39	39	219/2	2.0	5	2/4	1/2	0						40
40	40	223/2	2.0	5	2/4	1/2	0				line		41
41	41	227/2	2.0	5	2/4	1/2	0						42
42	42	231/2	2.0	5	2/4	1/2	0						43
43	43	235/2	2.0	5	2/4	1/2	0				line		44
44	44	239/2	2.0	5	2/4	1/2	0						45
45	45	243/2	2.0	5	2/4	1/2	0						46
46	46	247/2	2.0	5	2/4	1/2	0				line		47
47	47	251/2	2.0	5	2/4	1/2	0						48
48	48	255/2	2.0	5	2/4	1/2	0			double			49
49	49	259/2	3.0	5	6/8	3/4	0				line		50
50	50	265/2	3.0	5	6/8	3/4	0						51
51	51	271/2	3.0	5	6/8	3/4	0						52
52	52	277/2	3.0	5	6/8	3/4	0						53
53	53	283/2	3.0	5	6/8	3/4	0				line		54
54	54	289/2	3.0	5	6/8	3/4	0						55
55	55	295/2	3.0	5	6/8	3/4	0						56
56	56	301/2	3.0	5	6/8	3/4	0						57
57	57	307/2	3.0	5	6/8	3/4	0				line		58
58	58	313/2	3.0	5	6/8	3/4	0						59
59	59	319/2	3.0	5	6/8	3/4	0						60
60	60	325/2	3.0	5	6/8	3/4	0						61
61	61	331/2	3.0	5	6/8	3/4	0				line		62
62	62	337/2	3.0	5	6/8	3/4	0						63
63	63	343/2	3.0	5	6/8	3/4	0						64
64	64	349/2	3.0	5	6/8	3/4	0						65
65	65	355/2	3.0	5	6/8	3/4	0			double	line		66
66	66	361/2	3.0	5	12/16	3/4	0						67
67	67	367/2	3.0	5	12/16	3/4	0						68
68	68	373/2	3.0	5	12/16	3/4	0				line		69
69	69	379/2	3.0	5	12/16	3/4	0						70
70	70	385/2	1.5	5	6/16	3/8	0						71
71	71	194	3.0	5	12/16	3/4	0						72
72	72	197	3.0	5	12/16	3/4	0				line		73
73	73	200	3.0	5	12/16	3/4	0						74
74	74	203	3.0	5	12/16	3/4	0						75
75	75	206	3.0	5	12/16	3/4	0				line		76
76	76	209	3.0	5	12/16	3/4	0						77
77	77	212	3.0	5	12/16	3/4	0						78
78	78	215	3.0	5	12/16	3/4	0				line		79
79	79	218	3.0	5	12/16	3/4	0						80
80	80	221	3.0	5	12/16	3/4	0						81
81	81	224	2.0	5	2/4	1/2	0				line		82
82	82	226	2.0	5	2/4	1/2	0						83
83	83	228	2.0	5	2/4	1/2	0						84
84	84	230	2.0	5	2/4	1/2	0				line		85
85	85	232	2.0	5	2/4	1/2	0						86
86	86	234	2.0	5	2/4	1/2	0						87
87	87	236	2.0	5	2/4	1/2	0				line		88
88	88	238	2.0	5	2/4	1/2	0						89
89	89	240	2.0	5	2/4	1/2	0						90
90	90	242	2.0	5	2/4	1/2	0						91
91	91	244	2.0	5	2/4	1/2	0						92
92	92	246	2.0	5	2/4	1/2	0						93
93	93	248	2.0	5	2/4	1/2	0				line		94
94	94	250	2.0	5	2/4	1/2	0						95
95	95	252	2.0	5	2/4	1/2	0						96
96	96	254	2.0	5	2/4	1/2	0					lastMeasure	-1
