mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	0	1.5	-5	3/8	3/8	0					firstMeasure	2
2	2	3/2	1.5	-5	3/8	3/8	0				line		3
3	3	3	1.5	-5	3/8	3/8	0						4
4	4	9/2	1.5	-5	3/8	3/8	0				line		5
5	5	6	1.5	-5	3/8	3/8	0						6
6	6	15/2	1.5	-5	3/8	3/8	0						7
7	7	9	1.5	-5	3/8	3/8	0				line		8
8	8	21/2	1.5	-5	3/8	3/8	0						9
9	9	12	1.5	-5	3/8	3/8	0						10
10	10	27/2	1.5	-5	3/8	3/8	0				line		11
11	11	15	1.5	-5	3/8	3/8	0						12
12	12	33/2	1.5	-5	3/8	3/8	0						13
13	13	18	1.5	-5	3/8	3/8	0				page		14
14	14	39/2	1.5	-5	3/8	3/8	0						15
15	15	21	1.5	-5	3/8	3/8	0						16
16	16	45/2	1.5	-5	3/8	3/8	0				line		17
17	17	24	1.5	-5	3/8	3/8	0						18
18	18	51/2	1.5	-5	3/8	3/8	0						19
19	19	27	1.5	-5	3/8	3/8	0				line		20
20	20	57/2	1.5	-5	3/8	3/8	0						21
21	21	30	1.5	-5	3/8	3/8	0						22
22	22	63/2	1.5	-5	3/8	3/8	0						23
23	23	33	1.5	-5	3/8	3/8	0				line		24
24	24	69/2	1.75	-5	3/8	7/16	0						25
25	25	145/4	1.5	-5	3/8	3/8	0						26
26	26	151/4	1.5	-5	3/8	3/8	0						27
27	27	157/4	1.5	-5	3/8	3/8	0				line		28
28	28	163/4	1.5	-5	3/8	3/8	0						29
29	29	169/4	1.5	-5	3/8	3/8	0						30
30	30	175/4	1.5	-5	3/8	3/8	0						31
31	31	181/4	1.5	-5	3/8	3/8	0				page		32
32	32	187/4	1.5	4	3/8	3/8	0						33
33	33	193/4	1.5	4	3/8	3/8	0						34
34	34	199/4	1.5	4	3/8	3/8	0						35
35	35	205/4	1.5	4	3/8	3/8	0						36
36	36	211/4	1.5	4	3/8	3/8	0				line		37
37	37	217/4	1.5	4	3/8	3/8	0						38
38	38	223/4	1.5	4	3/8	3/8	0						39
39	39	229/4	1.5	4	3/8	3/8	0						40
40	40	235/4	1.5	4	3/8	3/8	0						41
41	41	241/4	1.5	4	3/8	3/8	0				line		42
42	42	247/4	1.5	-5	3/8	3/8	0						43
