mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	0	5.0	3	5/4	5/4	0					firstMeasure	2
2	2	5	5.0	3	5/4	5/4	0						3
3	3	10	3.0	3	3/4	3/4	0				line		4
4	4	13	3.0	3	3/4	3/4	0						5
5	5	16	3.0	3	3/4	3/4	0						6
6	6	19	3.0	3	3/4	3/4	0						7
7	7	22	3.0	3	3/4	3/4	0						8
8	8	25	3.0	3	3/4	3/4	0				line		9
9	9	28	3.0	3	3/4	3/4	0						10
10	10	31	3.0	3	3/4	3/4	0						11
11	11	34	3.0	3	3/4	3/4	0						12
12	12	37	3.0	3	3/4	3/4	0						13
13	13	40	3.0	3	3/4	3/4	0				line		14
14	14	43	3.0	3	3/4	3/4	0						15
15	15	46	3.0	3	3/4	3/4	0						16
16	16	49	3.0	3	3/4	3/4	0						17
17	17	52	3.0	3	3/4	3/4	0						18
18	18	55	3.0	3	3/4	3/4	0				line		19
19	19	58	3.0	3	3/4	3/4	0						20
20	20	61	3.0	3	3/4	3/4	0						21
21	21	64	3.0	3	3/4	3/4	0						22
22	22	67	3.0	3	3/4	3/4	0						23
23	23	70	3.0	3	3/4	3/4	0				line		24
24	24	73	5.0	3	5/4	5/4	0						25
25	25	78	5.0	3	5/4	5/4	0						26
26	26	83	5.0	3	5/4	5/4	0				line		27
27	27	88	5.0	-4	5/4	5/4	0						28
28	28	93	5.0	-4	5/4	5/4	0						29
29	29	98	3.0	-4	3/4	3/4	0				line		30
30	30	101	5.0	-4	5/4	5/4	0						31
31	31	106	3.0	-4	3/4	3/4	0						32
32	32	109	3.0	-4	3/4	3/4	0				line		33
33	33	112	3.0	-4	3/4	3/4	0						34
34	34	115	3.0	-4	3/4	3/4	0						35
35	35	118	3.0	-4	3/4	3/4	0				line		36
36	36	121	3.0	-4	3/4	3/4	0			double			37
37	37	124	3.0	3	3/4	3/4	0						38
38	38	127	3.0	3	3/4	3/4	0				page		39
39	39	130	3.0	3	3/4	3/4	0						40
40	40	133	3.0	3	3/4	3/4	0						41
41	41	136	3.0	3	3/4	3/4	0				line		42
42	42	139	3.0	3	3/4	3/4	0						43
43	43	142	3.0	3	3/4	3/4	0						44
44	44	145	5.0	3	5/4	5/4	0				line		45
45	45	150	5.0	3	5/4	5/4	0						46
46	46	155	3.0	3	3/4	3/4	0				line		47
47	47	158	3.0	3	3/4	3/4	0						48
48	48	161	3.0	3	3/4	3/4	0						49
49	49	164	5.5	3	5/4	11/8	0				line		50
50	50	339/2	3.0	3	3/4	3/4	0						51
51	51	345/2	3.0	3	3/4	3/4	0						52
52	52	351/2	3.0	3	3/4	3/4	0						53
53	53	357/2	3.0	3	3/4	3/4	0			end		lastMeasure	-1
