mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	0	3.0	-2	3/4	3/4	0					firstMeasure	2
2	2	3	3.0	-2	3/4	3/4	0						3
3	3	6	3.0	-2	3/4	3/4	0				line		4
4	4	9	4.0	-2	3/4	1	0						5
5	5	13	3.0	-2	3/4	3/4	0			double			6
6	6	16	3.0	-2	3/4	3/4	0				line		7
7	7	19	3.0	-2	3/4	3/4	0						8
8	8	22	3.0	-2	3/4	3/4	0						9
9	9	25	4.0	-2	3/4	1	0				line		10
10	10	29	4.0	-2	3/4	1	0			double			11
11	11	33	3.0	-2	3/4	3/4	0						12
12	12	36	3.0	-2	3/4	3/4	0				page		13
13	13	39	3.0	-2	3/4	3/4	0						14
14	14	42	3.0	-2	3/4	3/4	0						15
15	15	45	3.0	-2	3/4	3/4	0			double	line		16
16	16	48	4.0	-2	3/4	1	0			double			17
17	17	52	3.0	-2	3/4	3/4	0						18
18	18	55	3.0	-2	3/4	3/4	0				line		19
19	19	58	3.0	-2	3/4	3/4	0						20
20	20	61	3.0	-2	3/4	3/4	0						21
21	21	64	3.0	-2	3/4	3/4	0						22
22	22	67	3.0	-2	3/4	3/4	0				line		23
23	23	70	3.0	-2	3/4	3/4	0						24
24	24	73	3.0	-2	3/4	3/4	0						25
25	25	76	3.0	-2	3/4	3/4	0						26
26	26	79	3.0	-2	3/4	3/4	0				line		27
27	27	82	3.0	-2	3/4	3/4	0						28
28	28	85	3.0	-2	3/4	3/4	0						29
29	29	88	3.0	-2	3/4	3/4	0						30
30	30	91	3.0	-2	3/4	3/4	0						31
31	31	94	3.0	-2	3/4	3/4	0			end		lastMeasure	-1
