mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	0	2.0	-1	4/8	1/2	0					firstMeasure	2
2	2	2	2.0	-1	4/8	1/2	0				line		3
3	3	4	2.0	-1	4/8	1/2	0						4
4	4	6	2.0	-1	4/8	1/2	0				line		5
5	5	8	2.0	-1	4/8	1/2	0						6
6	6	10	2.0	-1	4/8	1/2	0				line		7
7	7	12	2.0	-1	4/8	1/2	0						8
8	8	14	2.0	-1	4/8	1/2	0				page		9
9	9	16	2.0	-1	4/8	1/2	0						10
10	10	18	2.0	-1	4/8	1/2	0						11
11	11	20	2.0	-1	4/8	1/2	0						12
12	12	22	2.0	-1	4/8	1/2	0						13
13	13	24	2.0	-1	4/8	1/2	0						14
14	14	26	2.0	-1	4/8	1/2	0						15
15	15	28	2.0	-1	4/8	1/2	0						16
16	16	30	2.0	-1	4/8	1/2	0				page		17
17	17	32	2.0	-1	4/8	1/2	0						18
18	18	34	2.0	-1	4/8	1/2	0						19
19	19	36	2.0	-1	4/8	1/2	0						20
20	20	38	2.0	-1	4/8	1/2	0				line		21
21	21	40	2.0	-1	4/8	1/2	0						22
22	22	42	2.0	-1	4/8	1/2	0				line		23
23	23	44	2.0	-1	4/8	1/2	0						24
24	24	46	2.0	-1	4/8	1/2	0				line		25
25	25	48	2.0	-1	4/8	1/2	0						26
26	26	50	2.0	-1	4/8	1/2	0				page		27
27	27	52	2.0	-1	4/8	1/2	0						28
28	28	54	2.0	-1	4/8	1/2	0				line		29
29	29	56	2.0	-1	4/8	1/2	0						30
30	30	58	1.0	-1	2/8	1/4	0				line		31
31	31	59	2.0	-1	4/8	1/2	0						32
32	32	61	1.5	-1	3/8	3/8	0				line		33
33	33	125/2	2.0	-1	4/8	1/2	0				line		34
34	34	129/2	2.0	-1	4/8	1/2	0				line		35
35	35	133/2	2.0	-1	4/8	1/2	0						36
36	36	137/2	2.0	-1	4/8	1/2	0				line		37
37	37	141/2	2.0	-1	4/8	1/2	0				line		38
38	38	145/2	3.0	-1	6/8	3/4	0				line		39
39	39	151/2	2.0	-1	4/8	1/2	0				line		40
40	40	155/2	2.0	-1	4/8	1/2	0			double	line		41
41	41	159/2	2.0	-5	4/8	1/2	0						42
42	42	163/2	2.0	-5	4/8	1/2	0				line		43
43	43	167/2	2.0	-5	4/8	1/2	0						44
44	44	171/2	1.0	-5	2/8	1/4	0				line		45
45	45	173/2	2.0	-5	4/8	1/2	0						46
46	46	177/2	2.0	-5	4/8	1/2	0				line		47
47	47	181/2	2.0	0	4/8	1/2	0						48
48	48	185/2	2.0	0	4/8	1/2	0				line		49
49	49	189/2	2.0	0	4/8	1/2	0						50
50	50	193/2	2.0	0	4/8	1/2	0						51
51	51	197/2	2.0	0	4/8	1/2	0				line		52
52	52	201/2	2.0	0	4/8	1/2	0						53
53	53	205/2	2.0	0	4/8	1/2	0						54
54	54	209/2	2.0	0	4/8	1/2	0				line		55
55	55	213/2	2.0	0	4/8	1/2	0						56
56	56	217/2	2.0	0	4/8	1/2	0				line		57
57	57	221/2	2.0	3	4/8	1/2	0						58
58	58	225/2	2.0	3	4/8	1/2	0				line		59
59	59	229/2	2.0	3	4/8	1/2	0				line		60
60	60	233/2	2.0	3	4/8	1/2	0				line		61
61	61	237/2	2.0	0	4/8	1/2	0						62
62	62	241/2	2.0	0	4/8	1/2	0				line		63
63	63	245/2	2.0	0	4/8	1/2	0						64
64	64	249/2	2.0	0	4/8	1/2	0				line		65
65	65	253/2	2.0	6	4/8	1/2	0						66
66	66	257/2	2.0	6	4/8	1/2	0				line		67
67	67	261/2	2.0	6	4/8	1/2	0						68
68	68	265/2	4.0	0	4/4	1	0				line		69
69	69	273/2	5.5	0	5/4	11/8	0				line		70
70	70	142	2.0	6	4/8	1/2	0						71
71	71	144	2.0	6	4/8	1/2	0				line		72
72	72	146	2.0	6	4/8	1/2	0			double			73
73	73	148	2.0	0	4/8	1/2	0				line		74
74	74	150	2.0	0	4/8	1/2	0						75
75	75	152	2.0	0	4/8	1/2	0						76
76	76	154	2.0	0	4/8	1/2	0				line		77
77	77	156	2.0	0	4/8	1/2	0						78
78	78	158	2.0	0	4/8	1/2	0						79
79	79	160	2.0	0	4/8	1/2	0				line		80
80	80	162	2.0	0	4/8	1/2	0			double			81
81	81	164	2.0	-1	4/8	1/2	0				line		82
82	82	166	2.0	-1	4/8	1/2	0						83
83	83	168	2.0	-1	4/8	1/2	0				line		84
84	84	170	2.0	-1	4/8	1/2	0						85
85	85	172	2.0	-1	4/8	1/2	0				line		86
86	86	174	2.0	-1	4/8	1/2	0						87
87	87	176	3.0	-1	6/8	3/4	0						88
88	88	179	3.0	-1	6/8	3/4	0				line		89
89	89	182	2.25	0	4/8	9/16	0				line		90
90	90	737/4	2.0	0	4/8	1/2	0						91
91	91	745/4	2.0	0	4/8	1/2	0						92
92	92	753/4	2.0	0	4/8	1/2	0						93
93	93	761/4	2.0	0	4/8	1/2	0						94
94	94	769/4	2.0	0	4/8	1/2	0				line		95
95	95	777/4	2.0	0	4/8	1/2	0						96
96	96	785/4	2.0	0	4/8	1/2	0						97
97	97	793/4	2.0	0	4/8	1/2	0						98
98	98	801/4	2.0	0	4/8	1/2	0						99
99	99	809/4	2.0	0	4/8	1/2	0						100
100	100	817/4	2.0	0	4/8	1/2	0					lastMeasure	-1
