mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	0	1.5	-5	3/8	3/8	0					firstMeasure	2
2	2	3/2	1.5	-5	3/8	3/8	0						3
3	3	3	1.5	-5	3/8	3/8	0						4
4	4	9/2	1.5	-5	3/8	3/8	0						5
5	5	6	1.5	-5	3/8	3/8	0						6
6	6	15/2	1.5	-5	3/8	3/8	0						7
7	7	9	1.5	-5	3/8	3/8	0						8
8	8	21/2	1.5	-5	3/8	3/8	0						9
9	9	12	1.5	-5	3/8	3/8	0						10
10	10	27/2	1.5	-5	3/8	3/8	0						11
11	11	15	1.5	-5	3/8	3/8	0						12
12	12	33/2	1.5	-5	3/8	3/8	0						13
13	13	18	1.5	-5	3/8	3/8	0						14
14	14	39/2	1.5	-5	3/8	3/8	0						15
15	15	21	1.5	-5	3/8	3/8	0						16
16	16	45/2	1.5	-5	3/8	3/8	0						17
17	17	24	1.5	-5	3/8	3/8	0						18
18	18	51/2	1.5	-5	3/8	3/8	0						19
19	19	27	1.5	-5	3/8	3/8	0						20
20	20	57/2	1.5	-5	3/8	3/8	0						21
21	21	30	1.5	-5	3/8	3/8	0						22
22	22	63/2	1.5	-5	3/8	3/8	0						23
23	23	33	1.5	-5	3/8	3/8	0						24
24	24	69/2	1.5	-5	3/8	3/8	0						25
25	25	36	1.5	-5	3/8	3/8	0						26
26	26	75/2	1.5	-5	3/8	3/8	0						27
27	27	39	1.5	-5	3/8	3/8	0						28
28	28	81/2	1.5	-5	3/8	3/8	0						29
29	29	42	1.5	-5	3/8	3/8	0						30
30	30	87/2	1.5	-5	3/8	3/8	0						31
31	31	45	1.5	-5	3/8	3/8	0						32
32	32	93/2	1.5	-5	3/8	3/8	0						33
33	33	48	1.5	-5	3/8	3/8	0						34
34	34	99/2	1.5	-5	3/8	3/8	0						35
35	35	51	1.5	-5	3/8	3/8	0						36
36	36	105/2	1.5	-5	3/8	3/8	0						37
37	37	54	1.5	-5	3/8	3/8	0						38
38	38	111/2	1.5	-5	3/8	3/8	0						39
39	39	57	1.5	-5	3/8	3/8	0						40
40	40	117/2	1.5	-5	3/8	3/8	0						41
41	41	60	1.5	-5	3/8	3/8	0						42
42	42	123/2	1.5	-5	3/8	3/8	0						43
43	43	63	1.5	-5	3/8	3/8	0						44
44	44	129/2	1.5	-5	3/8	3/8	0						45
45	45	66	1.5	-5	3/8	3/8	0			double			46
46	46	135/2	1.5	0	3/8	3/8	0						47
47	47	69	1.5	0	3/8	3/8	0						48
48	48	141/2	1.5	0	3/8	3/8	0						49
49	49	72	1.5	0	3/8	3/8	0			double			50
50	50	147/2	1.5	-5	3/8	3/8	0						51
51	51	75	1.5	-5	3/8	3/8	0						52
52	52	153/2	1.5	-5	3/8	3/8	0						53
53	53	78	1.5	-5	3/8	3/8	0						54
54	54	159/2	1.5	-5	3/8	3/8	0						55
55	55	81	1.5	-5	3/8	3/8	0						56
56	56	165/2	1.5	-5	3/8	3/8	0						57
57	57	84	1.5	-5	3/8	3/8	0						58
58	58	171/2	1.5	-5	3/8	3/8	0						59
59	59	87	1.5	-5	3/8	3/8	0						60
60	60	177/2	1.5	-5	3/8	3/8	0						61
61	61	90	1.5	-5	3/8	3/8	0						62
62	62	183/2	1.5	-5	3/8	3/8	0						63
63	63	93	1.5	-5	3/8	3/8	0						64
64	64	189/2	1.5	-5	3/8	3/8	0						65
65	65	96	1.5	-5	3/8	3/8	0						66
66	66	195/2	1.5	-5	3/8	3/8	0						67
67	67	99	1.5	-5	3/8	3/8	0						68
68	68	201/2	1.5	-5	3/8	3/8	0						69
69	69	102	1.5	-5	3/8	3/8	0						70
70	70	207/2	1.5	-5	3/8	3/8	0						71
71	71	105	1.5	-5	3/8	3/8	0						72
72	72	213/2	1.5	-5	3/8	3/8	0						73
73	73	108	1.5	-5	3/8	3/8	0						74
74	74	219/2	1.5	-5	3/8	3/8	0						75
75	75	111	1.5	-5	3/8	3/8	0						76
76	76	225/2	1.5	-5	3/8	3/8	0						77
77	77	114	1.5	-5	3/8	3/8	0						78
78	78	231/2	1.5	-5	3/8	3/8	0						79
79	79	117	1.5	-5	3/8	3/8	0			double			80
80	80	237/2	2.0	2	2/4	1/2	0						81
81	81	241/2	2.0	2	2/4	1/2	0						82
82	82	245/2	2.0	2	2/4	1/2	0						83
83	83	249/2	2.0	2	2/4	1/2	0						84
84	84	253/2	2.0	2	2/4	1/2	0			double	line		85
85	85	257/2	1.5	-5	3/8	3/8	0						86
86	86	130	1.5	-5	3/8	3/8	0			double			87
87	87	263/2	2.0	2	2/4	1/2	0						88
88	88	267/2	2.0	2	2/4	1/2	0						89
89	89	271/2	2.0	2	2/4	1/2	0			double	line		90
90	90	275/2	1.5	-5	3/8	3/8	0						91
91	91	139	1.5	-5	3/8	3/8	0						92
92	92	281/2	1.5	-5	3/8	3/8	0						93
93	93	142	1.5	-5	3/8	3/8	0						94
94	94	287/2	1.5	-5	3/8	3/8	0				line		95
95	95	145	1.5	-5	3/8	3/8	0						96
96	96	293/2	1.5	-5	3/8	3/8	0						97
97	97	148	1.5	-5	3/8	3/8	0						98
98	98	299/2	1.5	-5	3/8	3/8	0						99
99	99	151	1.5	-5	3/8	3/8	0				line		100
100	100	305/2	1.5	-5	3/8	3/8	0						101
101	101	154	1.5	-5	3/8	3/8	0						102
102	102	311/2	1.5	-5	3/8	3/8	0						103
103	103	157	1.5	-5	3/8	3/8	0						104
104	104	317/2	1.5	-5	3/8	3/8	0						105
105	105	160	1.5	-5	3/8	3/8	0				line		106
106	106	323/2	1.5	-5	3/8	3/8	0						107
107	107	163	1.5	-5	3/8	3/8	0						108
108	108	329/2	1.5	-5	3/8	3/8	0						109
109	109	166	1.5	-5	3/8	3/8	0						110
110	110	335/2	1.5	-5	3/8	3/8	0						111
111	111	169	1.5	-5	3/8	3/8	0				line		112
112	112	341/2	1.5	-5	3/8	3/8	0						113
113	113	172	1.5	-5	3/8	3/8	0						114
114	114	347/2	1.5	-5	3/8	3/8	0						115
115	115	175	1.5	-5	3/8	3/8	0						116
116	116	353/2	1.5	-5	3/8	3/8	0				line		117
117	117	178	1.5	-5	3/8	3/8	0						118
118	118	359/2	1.5	-5	3/8	3/8	0						119
119	119	181	1.5	-5	3/8	3/8	0						120
120	120	365/2	1.5	-5	3/8	3/8	0						121
