mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	0	3.0	-4	3/4	3/4	0					firstMeasure	2
2	2	3	3.0	-4	3/4	3/4	0						3
3	3	6	3.0	-4	3/4	3/4	0						4
4	4	9	3.0	-4	3/4	3/4	0				line		5
5	5	12	3.0	-4	3/4	3/4	0						6
6	6	15	3.0	-4	3/4	3/4	0						7
7	7	18	3.0	-4	3/4	3/4	0						8
8	8	21	3.0	-4	3/4	3/4	0				line		9
9	9	24	3.0	-4	3/4	3/4	0						10
10	10	27	3.0	-4	3/4	3/4	0						11
11	11	30	3.0	-4	3/4	3/4	0				line		12
12	12	33	3.0	-4	3/4	3/4	0						13
13	13	36	3.0	-4	3/4	3/4	0						14
14	14	39	3.0	-4	3/4	3/4	0				line		15
15	15	42	3.0	-4	3/4	3/4	0						16
16	16	45	5.0	-4	5/4	5/4	0						17
17	17	50	3.0	-4	3/4	3/4	0				line		18
18	18	53	3.0	-4	3/4	3/4	0						19
19	19	56	3.0	-4	3/4	3/4	0						20
20	20	59	3.0	-4	3/4	3/4	0				line		21
21	21	62	3.0	-4	3/4	3/4	0						22
22	22	65	3.0	-4	3/4	3/4	0				line		23
23	23	68	3.0	-2	3/4	3/4	0						24
24	24	71	3.0	-2	3/4	3/4	0						25
25	25	74	3.0	-2	3/4	3/4	0				page		26
26	26	77	3.0	-2	3/4	3/4	0						27
27	27	80	3.0	-2	3/4	3/4	0						28
28	28	83	3.0	-2	3/4	3/4	0				line		29
29	29	86	3.0	-2	3/4	3/4	0						30
30	30	89	3.0	-2	3/4	3/4	0						31
31	31	92	3.0	-2	3/4	3/4	0				line		32
32	32	95	3.0	-2	3/4	3/4	0						33
33	33	98	3.0	-2	3/4	3/4	0						34
34	34	101	3.0	-2	3/4	3/4	0				line		35
35	35	104	3.0	-2	3/4	3/4	0						36
36	36	107	3.0	-2	3/4	3/4	0						37
37	37	110	3.0	-2	3/4	3/4	0				page		38
38	38	113	3.0	-4	3/4	3/4	0						39
39	39	116	3.0	-4	3/4	3/4	0						40
40	40	119	3.0	-4	3/4	3/4	0				line		41
41	41	122	3.0	-4	3/4	3/4	0						42
42	42	125	3.0	-4	3/4	3/4	0						43
43	43	128	3.0	-4	3/4	3/4	0				line		44
44	44	131	3.0	-4	3/4	3/4	0						45
45	45	134	3.0	-4	3/4	3/4	0						46
46	46	137	3.0	-4	3/4	3/4	0						47
47	47	140	3.0	-4	3/4	3/4	0				line		48
48	48	143	3.0	-4	3/4	3/4	0						49
49	49	146	3.0	-4	3/4	3/4	0						50
50	50	149	3.0	-4	3/4	3/4	0						51
51	51	152	3.0	-4	3/4	3/4	0					lastMeasure	-1
