mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	0	4.0	3	4/4	1	0					firstMeasure	2
2	2	4	2.0	3	4/4	1/2	0						3
3	2	6	2.0	3	4/4	1/2	1/2		1				4
4	3	8	4.0	3	4/4	1	0				line		5
5	4	12	4.0	3	4/4	1	0						6
6	5	16	2.0	3	4/4	1/2	0				line		7
7	5	18	2.0	3	4/4	1/2	1/2		1				8
8	6	20	2.0	3	4/4	1/2	0				line		9
9	6	22	2.0	3	4/4	1/2	1/2		1				10
10	7	24	4.0	3	4/4	1	0						11
11	8	28	4.0	3	4/4	1	0						12
12	9	32	4.0	3	4/4	1	0				page		13
13	10	36	4.5	3	4/4	9/8	0						14
14	11	81/2	4.0	3	4/4	1	0						15
15	12	89/2	4.0	3	4/4	1	0						16
16	13	97/2	4.5	3	4/4	9/8	0						17
17	14	53	4.0	3	4/4	1	0				line		18
18	15	57	4.0	3	4/4	1	0						19
19	16	61	4.0	3	4/4	1	0						20
20	17	65	4.0	3	4/4	1	0						21
21	18	69	4.0	3	4/4	1	0						22
22	19	73	4.0	3	4/4	1	0						23
23	20	77	4.0	3	4/4	1	0				line		24
24	21	81	4.0	3	4/4	1	0						25
25	22	85	4.0	3	4/4	1	0				line		26
26	23	89	4.0	0	4/4	1	0						27
27	24	93	4.0	0	4/4	1	0						28
28	25	97	4.0	0	4/4	1	0						29
29	26	101	4.0	0	4/4	1	0						30
30	27	105	4.0	0	4/4	1	0						31
31	28	109	4.0	0	4/4	1	0						32
32	29	113	4.0	0	4/4	1	0						33
33	30	117	4.0	0	4/4	1	0						34
34	31	121	4.0	0	4/4	1	0						35
35	32	125	4.0	0	4/4	1	0				line		36
36	33	129	4.0	0	4/4	1	0						37
37	34	133	4.0	0	4/4	1	0				line		38
38	35	137	3.0	3	3/4	3/4	0						39
39	36	140	1.0	3	3/4	1/4	0				line		40
40	36	141	2.0	3	3/4	1/2	1/4		1				41
41	37	143	3.0	3	3/4	3/4	0						42
42	38	146	3.0	3	3/4	3/4	0				line		43
43	39	149	3.0	3	3/4	3/4	0						44
44	40	152	1.0	3	3/4	1/4	0				line		45
45	40	153	2.0	3	3/4	1/2	1/4		1				46
46	41	155	3.0	3	3/4	3/4	0				line		47
47	42	158	3.0	3	3/4	3/4	0				line		48
48	43	161	4.0	3	4/4	1	0						49
49	44	165	4.0	3	4/4	1	0						50
50	45	169	4.0	3	4/4	1	0						51
51	46	173	4.0	3	4/4	1	0				line		52
52	47	177	4.0	3	4/4	1	0						53
53	48	181	4.0	3	4/4	1	0						54
54	49	185	4.0	3	4/4	1	0						55
55	50	189	4.0	3	4/4	1	0				line		56
56	51	193	4.0	3	4/4	1	0						57
57	52	197	4.0	3	4/4	1	0						58
58	53	201	4.0	3	4/4	1	0				line		59
59	54	205	4.0	3	4/4	1	0						60
60	55	209	4.0	3	4/4	1	0				page		61
61	56	213	4.0	3	4/4	1	0						62
62	57	217	2.0	3	4/4	1/2	0				line		63
63	57	219	2.0	3	4/4	1/2	1/2		1				64
64	58	221	4.0	3	4/4	1	0						65
65	59	225	4.0	3	4/4	1	0						66
66	60	229	4.0	3	4/4	1	0				line		67
67	61	233	4.0	3	4/4	1	0						68
68	62	237	4.0	3	4/4	1	0						69
69	63	241	4.0	3	4/4	1	0				line		70
70	64	245	4.0	3	4/4	1	0						71
71	65	249	4.0	3	4/4	1	0						72
72	66	253	2.0	3	4/4	1/2	0						73
73	66	255	2.0	3	4/4	1/2	1/2		1				74
74	67	257	4.0	3	4/4	1	0						75
75	68	261	3.0	3	3/4	3/4	0						76
76	69	264	4.0	3	4/4	1	0						77
77	70	268	4.0	3	4/4	1	0					lastMeasure	-1
