mc	mn	quarterbeats	duration_qb	keysig	timesig	act_dur	mc_offset	numbering_offset	dont_count	barline	breaks	repeats	next
1	1	0	3.0	2	6/8	3/4	0					firstMeasure	2
2	2	3	4.5	2	9/8	9/8	0						3
3	3	15/2	3.0	2	6/8	3/4	0						4
4	4	21/2	3.0	2	6/8	3/4	0				line		5
5	5	27/2	3.0	2	6/8	3/4	0						6
6	6	33/2	3.0	2	6/8	3/4	0						7
7	7	39/2	3.0	2	6/8	3/4	0				line		8
8	8	45/2	3.0	2	6/8	3/4	0						9
9	9	51/2	3.0	2	6/8	3/4	0						10
10	10	57/2	3.0	2	6/8	3/4	0			double	page		11
11	11	63/2	3.0	2	6/8	3/4	0						12
12	12	69/2	3.0	2	6/8	3/4	0				line		13
13	13	75/2	3.0	2	6/8	3/4	0						14
14	14	81/2	3.0	2	6/8	3/4	0				line		15
15	15	87/2	3.0	2	6/8	3/4	0						16
16	16	93/2	3.0	2	6/8	3/4	0						17
17	17	99/2	3.0	2	6/8	3/4	0				line		18
18	18	105/2	3.0	2	6/8	3/4	0						19
19	19	111/2	3.0	2	6/8	3/4	0				page		20
20	20	117/2	3.0	2	6/8	3/4	0						21
21	21	123/2	3.0	2	6/8	3/4	0						22
22	22	129/2	3.0	2	6/8	3/4	0				line		23
23	23	135/2	3.0	2	6/8	3/4	0						24
24	24	141/2	3.0	2	6/8	3/4	0						25
25	25	147/2	3.0	2	6/8	3/4	0				line		26
26	26	153/2	3.0	2	6/8	3/4	0						27
27	27	159/2	3.0	2	6/8	3/4	0						28
28	28	165/2	3.0	2	6/8	3/4	0				line		29
29	29	171/2	3.0	2	6/8	3/4	0						30
30	30	177/2	3.0	2	6/8	3/4	0						31
31	31	183/2	3.0	2	6/8	3/4	0				page		32
32	32	189/2	3.0	-3	6/8	3/4	0						33
33	33	195/2	3.0	-3	6/8	3/4	0						34
34	34	201/2	3.0	-3	6/8	3/4	0				line		35
35	35	207/2	3.0	-3	6/8	3/4	0						36
36	36	213/2	3.0	-3	6/8	3/4	0						37
37	37	219/2	3.0	-3	6/8	3/4	0				line		38
38	38	225/2	3.0	-3	6/8	3/4	0						39
39	39	231/2	3.0	-3	6/8	3/4	0						40
40	40	237/2	3.0	-3	6/8	3/4	0				line		41
41	41	243/2	3.0	-3	6/8	3/4	0						42
42	42	249/2	3.0	-3	6/8	3/4	0						43
43	43	255/2	3.0	-3	6/8	3/4	0				line		44
44	44	261/2	3.0	5	6/8	3/4	0						45
45	45	267/2	3.0	5	6/8	3/4	0				line		46
46	46	273/2	3.0	5	6/8	3/4	0						47
47	47	279/2	4.5	5	9/8	9/8	0				line		48
48	48	144	3.0	5	6/8	3/4	0						49
49	49	147	3.0	5	6/8	3/4	0				line		50
50	50	150	3.0	5	6/8	3/4	0						51
51	51	153	3.0	5	6/8	3/4	0				page		52
52	52	156	3.0	5	6/8	3/4	0						53
53	53	159	3.0	5	6/8	3/4	0				line		54
54	54	162	3.0	2	6/8	3/4	0						55
55	55	165	3.0	2	6/8	3/4	0						56
56	56	168	3.0	2	6/8	3/4	0				line		57
57	57	171	3.0	2	6/8	3/4	0						58
58	58	174	3.0	2	6/8	3/4	0						59
59	59	177	3.0	2	6/8	3/4	0				line		60
60	60	180	3.0	2	6/8	3/4	0						61
61	61	183	3.0	2	6/8	3/4	0						62
62	62	186	3.0	2	6/8	3/4	0				page		63
63	63	189	3.0	2	6/8	3/4	0						64
64	64	192	3.0	2	6/8	3/4	0				line		65
65	65	195	3.0	2	6/8	3/4	0						66
66	66	198	3.0	2	6/8	3/4	0						67
67	67	201	3.0	2	6/8	3/4	0				line		68
68	68	204	3.0	2	6/8	3/4	0						69
69	69	207	3.0	2	6/8	3/4	0						70
70	70	210	3.0	2	6/8	3/4	0				line		71
71	71	213	3.0	2	6/8	3/4	0						72
72	72	216	3.0	2	6/8	3/4	0						73
73	73	219	3.0	2	6/8	3/4	0						74
74	74	222	3.0	2	6/8	3/4	0					lastMeasure	-1
