quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	chord_id
1	1.0	1	1	1/4	1/4	4/4	1	1	1/4		1/4	1		2	62	0
1	1.0	1	1	1/4	1/4	4/4	1	1	1/4		1/4	1		-1	65	0
1	1.0	1	1	1/4	1/4	4/4	1	1	1/4		1/4	1		3	69	0
1	1.0	1	1	1/4	1/4	4/4	1	1	1/4		1/4	1		2	74	0
2	1.0	1	1	1/2	1/2	4/4	1	1	1/4		1/4	1		3	57	1
2	1.0	1	1	1/2	1/2	4/4	1	1	1/4		1/4	1		0	60	1
2	1.0	1	1	1/2	1/2	4/4	1	1	1/4		1/4	1		4	64	1
2	1.0	1	1	1/2	1/2	4/4	1	1	1/4		1/4	1		3	69	1
3	1.0	1	1	3/4	3/4	4/4	1	1	1/4		1/4	1		0	60	2
3	1.0	1	1	3/4	3/4	4/4	1	1	1/4		1/4	1		4	64	2
3	1.0	1	1	3/4	3/4	4/4	1	1	1/4		1/4	1		1	67	2
3	1.0	1	1	3/4	3/4	4/4	1	1	1/4		1/4	1		0	72	2
4	1.0	2	2	0	0	4/4	1	1	1/4		1/4	1		4	64	3
4	1.0	2	2	0	0	4/4	1	1	1/4		1/4	1		1	67	3
4	1.0	2	2	0	0	4/4	1	1	1/4		1/4	1		5	71	3
4	1.0	2	2	0	0	4/4	1	1	1/4		1/4	1		4	76	3
5	1.0	2	2	1/4	1/4	4/4	1	1	1/4		1/4	1		2	62	4
5	1.0	2	2	1/4	1/4	4/4	1	1	1/4		1/4	1		-1	65	4
5	1.0	2	2	1/4	1/4	4/4	1	1	1/4		1/4	1		3	69	4
5	1.0	2	2	1/4	1/4	4/4	1	1	1/4		1/4	1		2	74	4
6	1.0	2	2	1/2	1/2	4/4	1	1	1/4		1/4	1		1	67	5
6	1.0	2	2	1/2	1/2	4/4	1	1	1/4		1/4	1		-2	70	5
6	1.0	2	2	1/2	1/2	4/4	1	1	1/4		1/4	1		2	74	5
6	1.0	2	2	1/2	1/2	4/4	1	1	1/4		1/4	1		1	79	5
7	1.0	2	2	3/4	3/4	4/4	1	1	1/4		1/4	1		0	72	6
7	1.0	2	2	3/4	3/4	4/4	1	1	1/4		1/4	1		4	76	6
7	1.0	2	2	3/4	3/4	4/4	1	1	1/4		1/4	1		1	79	6
7	1.0	2	2	3/4	3/4	4/4	1	1	1/4		1/4	1		0	84	6
8	1.0	3	3	0	0	4/4	1	1	1/4		1/4	1		3	69	7
8	1.0	3	3	0	0	4/4	1	1	1/4		1/4	1		0	72	7
8	1.0	3	3	0	0	4/4	1	1	1/4		1/4	1		4	76	7
8	1.0	3	3	0	0	4/4	1	1	1/4		1/4	1		3	81	7
9	2.0	3	3	1/4	1/4	4/4	2	1	1/2		1/2	1		1	67	11
9	1.0	3	3	1/4	1/4	4/4	1	1	1/4		1/4	1		2	74	8
9	1.0	3	3	1/4	1/4	4/4	1	1	1/4		1/4	1		-1	77	8
9	1.0	3	3	1/4	1/4	4/4	1	1	1/4		1/4	1		3	81	8
9	1.0	3	3	1/4	1/4	4/4	1	1	1/4		1/4	1		2	86	8
10	1.0	3	3	1/2	1/2	4/4	1	1	1/4		1/4	1		3	69	9
10	1.0	3	3	1/2	1/2	4/4	1	1	1/4		1/4	1		0	72	9
10	1.0	3	3	1/2	1/2	4/4	1	1	1/4		1/4	1		4	76	9
10	1.0	3	3	1/2	1/2	4/4	1	1	1/4		1/4	1		3	81	9
11	1.0	3	3	3/4	3/4	4/4	2	1	1/4		1/4	1	1	0	60	12
11	1.0	3	3	3/4	3/4	4/4	1	1	1/4		1/4	1		1	67	10
11	1.0	3	3	3/4	3/4	4/4	1	1	1/4		1/4	1		-2	70	10
11	1.0	3	3	3/4	3/4	4/4	1	1	1/4		1/4	1		2	74	10
11	1.0	3	3	3/4	3/4	4/4	1	1	1/4		1/4	1		1	79	10
12	1.0	4	4	0	0	4/4	2	1	1/4		1/4	1	-1	0	60	17
12	1.0	4	4	0	0	4/4	1	1	1/4		1/4	1		2	62	13
12	1.0	4	4	0	0	4/4	1	1	1/4		1/4	1		-1	65	13
12	1.0	4	4	0	0	4/4	1	1	1/4		1/4	1		3	69	13
12	1.0	4	4	0	0	4/4	1	1	1/4		1/4	1		2	74	13
13	1.0	4	4	1/4	1/4	4/4	2	1	1/4		1/4	1	1	-3	51	18
13	1.0	4	4	1/4	1/4	4/4	2	1	1/4		1/4	1		-2	58	18
