mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	tremolo	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	1.0	0	0	3/4	3	1	1/4		1/4	1		-1	29	F1	1	0
1	1	0	1.0	0	0	3/4	3	1	1/4		1/4	1		-1	41	F2	2	0
1	1	1	1.0	1/4	1/4	3/4	3	1	1/4		1/4	1		-1	29	F1	1	1
1	1	1	1.0	1/4	1/4	3/4	3	1	1/4		1/4	1		-1	41	F2	2	1
1	1	2	1.0	1/2	1/2	3/4	3	1	1/4		1/4	1		1	31	G1	1	2
1	1	2	1.0	1/2	1/2	3/4	3	1	1/4		1/4	1		1	43	G2	2	2
2	2	3	1.5	0	0	3/4	3	1	3/8		1/4	3/2		4	28	E1	1	5
2	2	3	1.5	0	0	3/4	3	1	3/8		1/4	3/2		4	40	E2	2	5
2	2	3	2.0	0	0	3/4	1	1	1/2		1/2	1		1	67	G4	4	3
2	2	3	2.0	0	0	3/4	1	1	1/2		1/2	1		-2	70	Bb4	4	3
2	2	3	2.0	0	0	3/4	1	1	1/2		1/2	1		2	74	D5	5	3
2	2	3	2.0	0	0	3/4	1	1	1/2		1/2	1		1	79	G5	5	3
2	2	9/2	0.5	3/8	3/8	3/4	3	1	1/8		1/8	1		-1	29	F1	1	6
2	2	9/2	0.5	3/8	3/8	3/4	3	1	1/8		1/8	1		-1	41	F2	2	6
2	2	5	1.0	1/2	1/2	3/4	3	1	1/4		1/4	1		1	31	G1	1	7
2	2	5	1.0	1/2	1/2	3/4	3	1	1/4		1/4	1		1	43	G2	2	7
2	2	5	1.0	1/2	1/2	3/4	1	1	1/4		1/4	1		2	62	D4	4	4
2	2	5	1.0	1/2	1/2	3/4	1	1	1/4		1/4	1		1	67	G4	4	4
2	2	5	1.0	1/2	1/2	3/4	1	1	1/4		1/4	1		-2	70	Bb4	4	4
2	2	5	1.0	1/2	1/2	3/4	1	1	1/4		1/4	1		2	74	D5	5	4
3	3	6	1.0	0	0	3/4	3	1	1/4		1/4	1		3	33	A1	1	11
3	3	6	1.0	0	0	3/4	3	1	1/4		1/4	1		3	45	A2	2	11
3	3	6	1.0	0	0	3/4	1	1	1/4		1/4	1		0	60	C4	4	8
3	3	6	1.0	0	0	3/4	1	1	1/4		1/4	1		4	64	E4	4	8
