mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	3.0	0	0	3/4	2	2	3/4	1/2	3/2		1	55	G3	3	2
1	1	0	3.0	0	0	3/4	2	2	3/4	1/2	3/2		10	58	A#3	3	2
1	1	0	3.0	0	0	3/4	2	2	3/4	1/2	3/2		7	61	C#4	4	2
1	1	0	3.0	0	0	3/4	1	1	3/4	1/2	3/2		4	64	E4	4	0
1	1	0	3.0	0	0	3/4	2	1	3/4	1/2	3/2		6	66	F#4	4	1
1	1	0	3.0	0	0	3/4	1	1	3/4	1/2	3/2		10	70	A#4	4	0
1	1	0	3.0	0	0	3/4	1	1	3/4	1/2	3/2		7	73	C#5	5	0
1	1	0	3.0	0	0	3/4	1	1	3/4	1/2	3/2		6	78	F#5	5	0
2	2	3	3.0	0	0	3/4	2	2	3/4	1/2	3/2		-1	53	F3	3	10
2	2	3	3.0	0	0	3/4	2	2	3/4	1/2	3/2		8	56	G#3	3	10
2	2	3	3.0	0	0	3/4	2	2	3/4	1/2	3/2		5	59	B3	3	10
2	2	3	1.5	0	0	3/4	1	4	3/8	1/4	3/2		2	62	D4	4	8
2	2	3	1.5	0	0	3/4	2	1	3/8	1/4	3/2		4	64	E4	4	9
2	2	3	3.0	0	0	3/4	1	2	3/4	1/2	3/2		8	68	G#4	4	7
2	2	3	3.0	0	0	3/4	1	2	3/4	1/2	3/2		5	71	B4	4	7
2	2	3	1.5	0	0	3/4	1	1	3/8	1/4	3/2		4	76	E5	5	3
2	2	7/2	0.5	1/8	1/8	3/4	3	1	1/8	1/8	1		7	25	C#1	1	11
2	2	4	0.5	1/4	1/4	3/4	3	1	1/8	1/8	1		7	37	C#2	2	12
2	2	9/2	0.5	3/8	3/8	3/4	3	1	1/8	1/8	1		8	44	G#2	2	13
2	2	9/2	0.5	3/8	3/8	3/4	1	1	1/8	1/8	1		7	61	C#4	4	4
