quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	chord_id
0	0.5	1	1	0	0	3/8	2	1	1/8		1/8	1		-1	53	1
1/2	0.5	1	1	1/8	1/8	3/8	1	1	1/8		1/8	1		-6	54	0
1	0.5	1	1	1/4	1/4	3/8	2	1	1/8		1/8	1		-1	53	2
3/2	0.5	2	2	0	0	3/8	1	1	1/8		1/8	1		-6	54	3
2	0.5	2	2	1/8	1/8	3/8	2	1	1/8		1/8	1		-1	53	6
5/2	0.0	2	2	1/4	1/4	3/8	1	1	0	acciaccatura	1/8	1		-1	53	4
5/2	0.5	2	2	1/4	1/4	3/8	1	1	1/8		1/8	1		-6	54	5
6	0.25	5	5	0	0	3/8	2	1	1/16		1/16	1		-1	53	10
25/4	0.25	5	5	1/16	1/16	3/8	1	1	1/16		1/16	1		-1	53	7
13/2	0.25	5	5	1/8	1/8	3/8	2	1	1/16		1/16	1		-3	51	11
27/4	0.25	5	5	3/16	3/16	3/8	1	1	1/16		1/16	1		-3	51	8
7	0.25	5	5	1/4	1/4	3/8	2	1	1/16		1/16	1		-5	49	12
29/4	0.25	5	5	5/16	5/16	3/8	1	1	1/16		1/16	1		-5	49	9
15/2	0.25	6	6	0	0	3/8	2	1	1/16		1/16	1		-7	47	16
31/4	0.25	6	6	1/16	1/16	3/8	1	1	1/16		1/16	1		-7	47	13
8	0.25	6	6	1/8	1/8	3/8	2	1	1/16		1/16	1		-2	46	17
33/4	0.25	6	6	3/16	3/16	3/8	1	1	1/16		1/16	1		-2	46	14
17/2	0.25	6	6	1/4	1/4	3/8	2	1	1/16		1/16	1		-6	42	18
35/4	0.25	6	6	5/16	5/16	3/8	1	1	1/16		1/16	1		-6	42	15
9	0.25	7	7	0	0	3/8	2	1	1/16		1/16	1		-1	41	22
37/4	0.25	7	7	1/16	1/16	3/8	1	1	1/16		1/16	1		-1	41	19
19/2	0.25	7	7	1/8	1/8	3/8	2	1	1/16		1/16	1		-6	42	23
39/4	0.25	7	7	3/16	3/16	3/8	1	1	1/16		1/16	1		-6	42	20
10	0.25	7	7	1/4	1/4	3/8	2	1	1/16		1/16	1		-2	46	24
41/4	0.25	7	7	5/16	5/16	3/8	1	1	1/16		1/16	1		-2	46	21
21/2	0.25	8	8	0	0	3/8	2	1	1/16		1/16	1		-7	47	28
43/4	0.25	8	8	1/16	1/16	3/8	1	1	1/16		1/16	1		-7	47	25
11	0.25	8	8	1/8	1/8	3/8	2	1	1/16		1/16	1		-5	49	29
45/4	0.25	8	8	3/16	3/16	3/8	1	1	1/16		1/16	1		-5	49	26
23/2	0.25	8	8	1/4	1/4	3/8	2	1	1/16		1/16	1		-3	51	30
47/4	0.25	8	8	5/16	5/16	3/8	1	1	1/16		1/16	1		-3	51	27
12	0.25	9	9	0	0	3/8	2	1	1/16		1/16	1		-1	41	34
49/4	0.25	9	9	1/16	1/16	3/8	1	1	1/16		1/16	1		-1	53	31
25/2	0.25	9	9	1/8	1/8	3/8	2	1	1/16		1/16	1		0	48	35
51/4	0.25	9	9	3/16	3/16	3/8	1	1	1/16		1/16	1		0	48	32
13	0.25	9	9	1/4	1/4	3/8	2	1	1/16		1/16	1		-1	41	36
53/4	0.25	9	9	5/16	5/16	3/8	1	1	1/16		1/16	1		-1	41	33
27/2	0.25	10	10	0	0	3/8	2	1	1/16		1/16	1		0	48	40
55/4	0.25	10	10	1/16	1/16	3/8	1	1	1/16		1/16	1		-1	53	37
14	0.25	10	10	1/8	1/8	3/8	2	1	1/16		1/16	1		-1	41	41
57/4	0.25	10	10	3/16	3/16	3/8	1	1	1/16		1/16	1		0	48	38
29/2	0.25	10	10	1/4	1/4	3/8	2	1	1/16		1/16	1		0	48	42
59/4	0.25	10	10	5/16	5/16	3/8	1	1	1/16		1/16	1		-1	41	39
15	0.5	11	11	0	0	3/8	2	1	1/8		1/8	1		-1	53	44
31/2	0.5	11	11	1/8	1/8	3/8	1	1	1/8		1/8	1		-6	54	43
16	0.5	11	11	1/4	1/4	3/8	2	1	1/8		1/8	1		-1	53	45
33/2	0.5	12	12	0	0	3/8	1	1	1/8		1/8	1		-6	54	46
17	0.5	12	12	1/8	1/8	3/8	2	1	1/8		1/8	1		-1	53	49
35/2	0.0	12	12	1/4	1/4	3/8	1	1	0	acciaccatura	1/8	1		-1	53	47
35/2	0.5	12	12	1/4	1/4	3/8	1	1	1/8		1/8	1		-6	54	48
18	0.25	13	13	0	0	3/8	2	1	1/16		1/16	1		-1	53	53
73/4	0.25	13	13	1/16	1/16	3/8	1	1	1/16		1/16	1		-1	53	50
37/2	0.25	13	13	1/8	1/8	3/8	2	1	1/16		1/16	1		-3	51	54
75/4	0.25	13	13	3/16	3/16	3/8	1	1	1/16		1/16	1		-3	51	51
19	0.25	13	13	1/4	1/4	3/8	2	1	1/16		1/16	1		-5	49	55
77/4	0.25	13	13	5/16	5/16	3/8	1	1	1/16		1/16	1		-5	49	52
39/2	0.25	14	14	0	0	3/8	2	1	1/16		1/16	1		-7	47	59
79/4	0.25	14	14	1/16	1/16	3/8	1	1	1/16		1/16	1		-7	47	56
20	0.25	14	14	1/8	1/8	3/8	2	1	1/16		1/16	1		-2	46	60
81/4	0.25	14	14	3/16	3/16	3/8	1	1	1/16		1/16	1		-2	46	57
41/2	0.25	14	14	1/4	1/4	3/8	2	1	1/16		1/16	1		-6	42	61
83/4	0.25	14	14	5/16	5/16	3/8	1	1	1/16		1/16	1		-6	42	58
21	0.25	15	15	0	0	3/8	2	1	1/16		1/16	1		-1	41	65
85/4	0.25	15	15	1/16	1/16	3/8	1	1	1/16		1/16	1		-1	53	62
43/2	0.25	15	15	1/8	1/8	3/8	2	1	1/16		1/16	1		0	48	66
87/4	0.25	15	15	3/16	3/16	3/8	1	1	1/16		1/16	1		0	48	63
22	0.25	15	15	1/4	1/4	3/8	2	1	1/16		1/16	1		-1	41	67
89/4	0.25	15	15	5/16	5/16	3/8	1	1	1/16		1/16	1		-1	41	64
45/2	0.25	16	16	0	0	3/8	2	1	1/16		1/16	1		0	48	71
91/4	0.25	16	16	1/16	1/16	3/8	1	1	1/16		1/16	1		-1	53	68
23	0.25	16	16	1/8	1/8	3/8	2	1	1/16		1/16	1		-1	41	72
93/4	0.25	16	16	3/16	3/16	3/8	1	1	1/16		1/16	1		0	48	69
47/2	0.25	16	16	1/4	1/4	3/8	2	1	1/16		1/16	1		0	48	73
95/4	0.25	16	16	5/16	5/16	3/8	1	1	1/16		1/16	1		-1	41	70
24	0.5	17	17	0	0	3/8	2	1	1/8		1/8	1		-1	41	75
