mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0.1	0	0	3/8	2	1	1/40			1/32	4/5		4	76	E5	5	0
1	1	1/10	0.1	1/40	1/40	3/8	2	1	1/40			1/32	4/5		0	72	C5	5	1
1	1	1/5	0.1	1/20	1/20	3/8	2	1	1/40			1/32	4/5		-4	68	Ab4	4	2
1	1	3/10	0.1	3/40	3/40	3/8	2	1	1/40			1/32	4/5		-3	75	Eb5	5	3
1	1	2/5	0.1	1/10	1/10	3/8	2	1	1/40			1/32	4/5		-4	80	Ab5	5	4
1	1	1/2	0.1	1/8	1/8	3/8	2	1	1/40			1/32	4/5		0	72	C5	5	5
1	1	3/5	0.1	3/20	3/20	3/8	2	1	1/40			1/32	4/5		3	69	A4	4	6
1	1	7/10	0.1	7/40	7/40	3/8	2	1	1/40			1/32	4/5		-6	66	Gb4	4	7
1	1	4/5	0.1	1/5	1/5	3/8	2	1	1/40			1/32	4/5		-5	73	Db5	5	8
1	1	9/10	0.1	9/40	9/40	3/8	2	1	1/40			1/32	4/5		-6	78	Gb5	5	9
1	1	1	0.1	1/4	1/4	3/8	2	1	1/40			1/32	4/5		5	71	B4	4	10
1	1	11/10	0.1	11/40	11/40	3/8	2	1	1/40			1/32	4/5		1	67	G4	4	11
1	1	6/5	0.1	3/10	3/10	3/8	2	1	1/40			1/32	4/5		-3	63	Eb4	4	12
1	1	13/10	0.1	13/40	13/40	3/8	2	1	1/40			1/32	4/5		-2	70	Bb4	4	13
1	1	7/5	0.1	7/20	7/20	3/8	2	1	1/40			1/32	4/5		-3	75	Eb5	5	14
2	2	3/2	0.1	0	0	3/8	2	1	1/40			1/32	4/5		4	76	E5	5	15
2	2	8/5	0.1	1/40	1/40	3/8	2	1	1/40			1/32	4/5		0	72	C5	5	16
2	2	17/10	0.1	1/20	1/20	3/8	2	1	1/40			1/32	4/5		-4	68	Ab4	4	17
2	2	9/5	0.1	3/40	3/40	3/8	2	1	1/40			1/32	4/5		-3	75	Eb5	5	18
2	2	19/10	0.1	1/10	1/10	3/8	2	1	1/40			1/32	4/5		-4	80	Ab5	5	19
2	2	2	0.1	1/8	1/8	3/8	2	1	1/40			1/32	4/5		-1	77	F5	5	20
2	2	21/10	0.1	3/20	3/20	3/8	2	1	1/40			1/32	4/5		2	74	D5	5	21
2	2	11/5	0.1	7/40	7/40	3/8	2	1	1/40			1/32	4/5		-5	73	Db5	5	22
2	2	23/10	0.1	1/5	1/5	3/8	2	1	1/40			1/32	4/5		-4	80	Ab5	5	23
2	2	12/5	0.1	9/40	9/40	3/8	2	1	1/40			1/32	4/5		-5	85	Db6	6	24
2	2	5/2	0.1	1/4	1/4	3/8	2	1	1/40			1/32	4/5		1	79	G5	5	25
2	2	13/5	0.1	11/40	11/40	3/8	2	1	1/40			1/32	4/5		4	76	E5	5	26
2	2	27/10	0.1	3/10	3/10	3/8	2	1	1/40			1/32	4/5		-3	75	Eb5	5	27
2	2	14/5	0.1	13/40	13/40	3/8	2	1	1/40			1/32	4/5		-2	82	Bb5	5	28
2	2	29/10	0.1	7/20	7/20	3/8	2	1	1/40			1/32	4/5		-3	87	Eb6	6	29
3	3	3	0.1	0	0	3/8	2	1	1/40			1/32	4/5		4	76	E5	5	30
3	3	31/10	0.1	1/40	1/40	3/8	2	1	1/40			1/32	4/5		0	72	C5	5	31
3	3	16/5	0.1	1/20	1/20	3/8	2	1	1/40			1/32	4/5		-4	68	Ab4	4	32
3	3	33/10	0.1	3/40	3/40	3/8	2	1	1/40			1/32	4/5		-3	75	Eb5	5	33
