mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0.0	0	0	2/4	2	1	0	acciaccatura	1/8	1		-4	44	Ab2	2	4
1	1	0	1.0	0	0	2/4	2	1	1/4		1/4	1	1	-5	37	Db2	2	5
1	1	1	0.0	1/4	1/4	2/4	1	1	0	acciaccatura	1/8	1		4	52	E3	3	0
1	1	1	0.5	1/4	1/4	2/4	2	1	1/8		1/8	1	-1	-5	37	Db2	2	6
1	1	1	0.5	1/4	1/4	2/4	1	1	1/8		1/8	1		3	45	A2	2	1
1	1	3/2	0.0	3/8	3/8	2/4	1	1	0	acciaccatura	1/8	1		3	57	A3	3	2
1	1	3/2	0.5	3/8	3/8	2/4	1	1	1/8		1/8	1		2	50	D3	3	3
2	2	2	0.0	0	0	2/4	2	1	0	acciaccatura	1/32	1		4	52	E3	3	11
2	2	2	0.0	0	0	2/4	2	1	0	acciaccatura	1/32	1		3	45	A2	2	12
2	2	2	0.0	0	0	2/4	2	1	0	acciaccatura	1/32	1		-4	44	Ab2	2	13
2	2	2	1.0	0	0	2/4	2	1	1/4		1/4	1	1	-5	37	Db2	2	14
2	2	3	0.0	1/4	1/4	2/4	1	1	0	acciaccatura	1/8	1		4	52	E3	3	7
2	2	3	0.5	1/4	1/4	2/4	2	1	1/8		1/8	1	-1	-5	37	Db2	2	15
2	2	3	0.5	1/4	1/4	2/4	1	1	1/8		1/8	1		3	45	A2	2	8
2	2	7/2	0.0	3/8	3/8	2/4	1	1	0	acciaccatura	1/8	1		3	57	A3	3	9
2	2	7/2	0.5	3/8	3/8	2/4	1	1	1/8		1/8	1		2	50	D3	3	10
3	3	4	0.0	0	0	2/4	2	1	0	acciaccatura	1/32	1		4	52	E3	3	16
3	3	4	0.0	0	0	2/4	2	1	0	acciaccatura	1/32	1		3	45	A2	2	17
3	3	4	0.0	0	0	2/4	2	1	0	acciaccatura	1/32	1		-4	44	Ab2	2	18
3	3	4	0.75	0	0	2/4	2	1	3/16		1/8	3/2		-5	37	Db2	2	19
3	3	19/4	0.25	3/16	3/16	2/4	2	1	1/16		1/16	1		-4	44	Ab2	2	20
3	3	5	0.5	1/4	1/4	2/4	2	1	1/8		1/8	1		-5	37	Db2	2	21
3	3	11/2	0.5	3/8	3/8	2/4	2	1	1/8		1/8	1		-4	44	Ab2	2	22
4	4	6	0.0	0	0	2/4	2	1	0	acciaccatura	1/32	1		4	52	E3	3	23
4	4	6	0.0	0	0	2/4	2	1	0	acciaccatura	1/32	1		3	45	A2	2	24
4	4	6	0.0	0	0	2/4	2	1	0	acciaccatura	1/32	1		-4	44	Ab2	2	25
4	4	6	0.75	0	0	2/4	2	1	3/16		1/8	3/2		-5	37	Db2	2	26
4	4	27/4	0.25	3/16	3/16	2/4	2	1	1/16		1/16	1		-4	44	Ab2	2	27
4	4	7	0.5	1/4	1/4	2/4	2	1	1/8		1/8	1		-5	37	Db2	2	28
4	4	15/2	0.5	3/8	3/8	2/4	2	1	1/8		1/8	1		-4	44	Ab2	2	29
5	5	8	0.75	0	0	2/4	2	2	3/16		1/8	3/2		-5	37	Db2	2	31
5	5	8	2.0	0	0	2/4	1	1	1/2		1/2	1	1	5	59	B3	3	30
5	5	35/4	0.25	3/16	3/16	2/4	2	2	1/16		1/16	1		-4	44	Ab2	2	32
5	5	9	0.5	1/4	1/4	2/4	2	2	1/8		1/8	1		-5	37	Db2	2	33
5	5	19/2	0.5	3/8	3/8	2/4	2	2	1/8		1/8	1		-4	44	Ab2	2	34
6	6	10	0.75	0	0	2/4	2	2	3/16		1/8	3/2		-5	37	Db2	2	37
6	6	10	2.0	0	0	2/4	2	1	1/2		1/2	1	1	-1	53	F3	3	36
6	6	10	2.0	0	0	2/4	1	1	1/2		1/2	1	0	5	59	B3	3	35
6	6	43/4	0.25	3/16	3/16	2/4	2	2	1/16		1/16	1		-4	44	Ab2	2	38
6	6	11	0.5	1/4	1/4	2/4	2	2	1/8		1/8	1		-5	37	Db2	2	39
6	6	23/2	0.5	3/8	3/8	2/4	2	2	1/8		1/8	1		-4	44	Ab2	2	40
7	7	12	0.75	0	0	2/4	2	2	3/16		1/8	3/2		-5	37	Db2	2	44
7	7	12	2.0	0	0	2/4	2	1	1/2		1/2	1	0	-1	53	F3	3	43
7	7	12	1.0	0	0	2/4	1	1	1/4		1/4	1	-1	5	59	B3	3	41
7	7	51/4	0.25	3/16	3/16	2/4	2	2	1/16		1/16	1		-4	44	Ab2	2	45
7	7	13	0.5	1/4	1/4	2/4	2	2	1/8		1/8	1		-5	37	Db2	2	46
7	7	13	1.0	1/4	1/4	2/4	1	1	1/4		1/4	1	1	0	60	C4	4	42
7	7	27/2	0.5	3/8	3/8	2/4	2	2	1/8		1/8	1		-4	44	Ab2	2	47
