mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0.375	0	0	4/4	2	1	3/32			1/16	3/2		6	30	F#1	1	0
1	1	0	2.0	0	0	4/4	2	2	1/2			1/2	1		6	30	F#1	1	28
1	1	3/8	0.125	3/32	3/32	4/4	2	1	1/32			1/32	1		2	38	D2	2	1
1	1	1/2	0.125	1/8	1/8	4/4	2	1	1/32			1/32	1		3	45	A2	2	2
1	1	5/8	0.125	5/32	5/32	4/4	2	1	1/32			1/32	1		0	48	C3	3	3
1	1	3/4	0.125	3/16	3/16	4/4	2	1	1/32			1/32	1		6	54	F#3	3	4
1	1	7/8	0.125	7/32	7/32	4/4	2	1	1/32			1/32	1		3	57	A3	3	5
1	1	1	0.125	1/4	1/4	4/4	2	1	1/32			1/32	1		0	60	C4	4	6
1	1	9/8	0.125	9/32	9/32	4/4	2	1	1/32			1/32	1		2	62	D4	4	7
1	1	5/4	0.125	5/16	5/16	4/4	2	1	1/32			1/32	1		0	60	C4	4	8
1	1	11/8	0.125	11/32	11/32	4/4	2	1	1/32			1/32	1		3	57	A3	3	9
1	1	3/2	0.125	3/8	3/8	4/4	2	1	1/32			1/32	1		6	54	F#3	3	10
1	1	13/8	0.125	13/32	13/32	4/4	2	1	1/32			1/32	1		0	48	C3	3	11
1	1	7/4	0.125	7/16	7/16	4/4	2	1	1/32			1/32	1		3	45	A2	2	12
1	1	15/8	0.125	15/32	15/32	4/4	2	1	1/32			1/32	1		2	38	D2	2	13
1	1	2	0.375	1/2	1/2	4/4	2	1	3/32			1/16	3/2		6	30	F#1	1	14
1	1	2	2.0	1/2	1/2	4/4	2	2	1/2			1/2	1		6	30	F#1	1	29
1	1	19/8	0.125	19/32	19/32	4/4	2	1	1/32			1/32	1		2	38	D2	2	15
1	1	5/2	0.125	5/8	5/8	4/4	2	1	1/32			1/32	1		3	45	A2	2	16
1	1	21/8	0.125	21/32	21/32	4/4	2	1	1/32			1/32	1		0	48	C3	3	17
1	1	11/4	0.125	11/16	11/16	4/4	2	1	1/32			1/32	1		6	54	F#3	3	18
1	1	23/8	0.125	23/32	23/32	4/4	2	1	1/32			1/32	1		3	57	A3	3	19
1	1	3	0.125	3/4	3/4	4/4	2	1	1/32			1/32	1		0	60	C4	4	20
1	1	25/8	0.125	25/32	25/32	4/4	2	1	1/32			1/32	1		2	62	D4	4	21
1	1	13/4	0.125	13/16	13/16	4/4	2	1	1/32			1/32	1		0	60	C4	4	22
1	1	27/8	0.125	27/32	27/32	4/4	2	1	1/32			1/32	1		3	57	A3	3	23
1	1	7/2	0.125	7/8	7/8	4/4	2	1	1/32			1/32	1		6	54	F#3	3	24
1	1	29/8	0.125	29/32	29/32	4/4	2	1	1/32			1/32	1		0	48	C3	3	25
1	1	15/4	0.125	15/16	15/16	4/4	2	1	1/32			1/32	1		3	45	A2	2	26
1	1	31/8	0.125	31/32	31/32	4/4	2	1	1/32			1/32	1		2	38	D2	2	27
2	2	4	0.375	0	0	4/4	2	1	3/32			1/16	3/2		6	30	F#1	1	30
2	2	4	2.0	0	0	4/4	2	2	1/2			1/2	1		6	30	F#1	1	44
2	2	35/8	0.125	3/32	3/32	4/4	2	1	1/32			1/32	1		2	38	D2	2	31
2	2	9/2	0.125	1/8	1/8	4/4	2	1	1/32			1/32	1		3	45	A2	2	32
2	2	37/8	0.125	5/32	5/32	4/4	2	1	1/32			1/32	1		0	48	C3	3	33
2	2	19/4	0.125	3/16	3/16	4/4	2	1	1/32			1/32	1		6	54	F#3	3	34
2	2	39/8	0.125	7/32	7/32	4/4	2	1	1/32			1/32	1		3	57	A3	3	35
2	2	5	0.125	1/4	1/4	4/4	2	1	1/32			1/32	1		0	60	C4	4	36
2	2	41/8	0.125	9/32	9/32	4/4	2	1	1/32			1/32	1		2	62	D4	4	37
2	2	21/4	0.125	5/16	5/16	4/4	2	1	1/32			1/32	1		0	60	C4	4	38
2	2	43/8	0.125	11/32	11/32	4/4	2	1	1/32			1/32	1		3	57	A3	3	39
2	2	11/2	0.125	3/8	3/8	4/4	2	1	1/32			1/32	1		6	54	F#3	3	40
2	2	45/8	0.125	13/32	13/32	4/4	2	1	1/32			1/32	1		0	48	C3	3	41
2	2	23/4	0.125	7/16	7/16	4/4	2	1	1/32			1/32	1		3	45	A2	2	42
2	2	47/8	0.125	15/32	15/32	4/4	2	1	1/32			1/32	1		2	38	D2	2	43
3	2	6	0.375	0	1/2	4/4	2	1	3/32			1/16	3/2		6	30	F#1	1	45
3	2	6	2.0	0	1/2	4/4	2	2	1/2			1/2	1		6	30	F#1	1	59
3	2	51/8	0.125	3/32	19/32	4/4	2	1	1/32			1/32	1		2	38	D2	2	46
3	2	13/2	0.125	1/8	5/8	4/4	2	1	1/32			1/32	1		3	45	A2	2	47
3	2	53/8	0.125	5/32	21/32	4/4	2	1	1/32			1/32	1		0	48	C3	3	48
3	2	27/4	0.125	3/16	11/16	4/4	2	1	1/32			1/32	1		6	54	F#3	3	49
3	2	55/8	0.125	7/32	23/32	4/4	2	1	1/32			1/32	1		3	57	A3	3	50
3	2	7	0.125	1/4	3/4	4/4	2	1	1/32			1/32	1		0	60	C4	4	51
3	2	57/8	0.125	9/32	25/32	4/4	2	1	1/32			1/32	1		2	62	D4	4	52
3	2	29/4	0.125	5/16	13/16	4/4	2	1	1/32			1/32	1		0	60	C4	4	53
3	2	59/8	0.125	11/32	27/32	4/4	2	1	1/32			1/32	1		3	57	A3	3	54
3	2	15/2	0.125	3/8	7/8	4/4	2	1	1/32			1/32	1		6	54	F#3	3	55
3	2	61/8	0.125	13/32	29/32	4/4	2	1	1/32			1/32	1		0	48	C3	3	56
3	2	31/4	0.125	7/16	15/16	4/4	2	1	1/32			1/32	1		3	45	A2	2	57
3	2	63/8	0.125	15/32	31/32	4/4	2	1	1/32			1/32	1		2	38	D2	2	58
4	3	8	0.375	0	0	4/4	2	1	3/32			1/16	3/2		6	30	F#1	1	64
4	3	8	2.0	0	0	4/4	2	2	1/2			1/2	1		6	30	F#1	1	92
4	3	67/8	0.125	3/32	3/32	4/4	2	1	1/32			1/32	1		2	38	D2	2	65
4	3	17/2	0.125	1/8	1/8	4/4	2	1	1/32			1/32	1		3	45	A2	2	66
4	3	69/8	0.125	5/32	5/32	4/4	2	1	1/32			1/32	1		0	48	C3	3	67
4	3	35/4	0.125	3/16	3/16	4/4	2	1	1/32			1/32	1		6	54	F#3	3	68
4	3	71/8	0.125	7/32	7/32	4/4	2	1	1/32			1/32	1		3	57	A3	3	69
4	3	9	0.125	1/4	1/4	4/4	2	1	1/32			1/32	1		0	60	C4	4	70
