mc	mn	quarterbeats	duration_qb	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	tied	tpc	midi	name	octave	chord_id
1	1	0	0.375	0	0	2/4	1	1	3/32			1/16	3/2		-1	65	F4	4	0
1	1	3/8	0.125	3/32	3/32	2/4	1	1	1/32			1/32	1		1	67	G4	4	1
1	1	1/2	0.375	1/8	1/8	2/4	1	1	3/32			1/16	3/2		0	72	C5	5	2
1	1	7/8	0.125	7/32	7/32	2/4	1	1	1/32			1/32	1		-4	68	Ab4	4	3
1	1	1	0.375	1/4	1/4	2/4	1	1	3/32			1/16	3/2		1	67	G4	4	4
1	1	11/8	0.125	11/32	11/32	2/4	1	1	1/32			1/32	1		-1	65	F4	4	5
1	1	3/2	0.375	3/8	3/8	2/4	1	1	3/32			1/16	3/2		-3	63	Eb4	4	6
1	1	15/8	0.125	15/32	15/32	2/4	1	1	1/32			1/32	1		2	62	D4	4	7
2	2	2	0.375	0	0	2/4	1	1	3/32			1/16	3/2		0	60	C4	4	8
2	2	19/8	0.125	3/32	3/32	2/4	1	1	1/32			1/32	1		2	62	D4	4	9
2	2	5/2	0.375	1/8	1/8	2/4	1	1	3/32			1/16	3/2		1	67	G4	4	10
2	2	23/8	0.125	7/32	7/32	2/4	1	1	1/32			1/32	1		-3	63	Eb4	4	11
2	2	3	0.16666666666666666	1/4	1/4	2/4	1	1	1/24			1/16	2/3		0	60	C4	4	12
2	2	19/6	0.16666666666666666	7/24	7/24	2/4	1	1	1/24			1/16	2/3		2	62	D4	4	13
2	2	10/3	0.16666666666666666	1/3	1/3	2/4	1	1	1/24			1/16	2/3		-3	63	Eb4	4	14
2	2	7/2	0.16666666666666666	3/8	3/8	2/4	1	1	1/24			1/16	2/3		-1	65	F4	4	15
2	2	11/3	0.16666666666666666	5/12	5/12	2/4	1	1	1/24			1/16	2/3		1	67	G4	4	16
2	2	23/6	0.16666666666666666	11/24	11/24	2/4	1	1	1/24			1/16	2/3		-3	63	Eb4	4	17
3	3	4	0.375	0	0	2/4	1	1	3/32			1/16	3/2		-1	65	F4	4	18
3	3	35/8	0.125	3/32	3/32	2/4	1	1	1/32			1/32	1		1	67	G4	4	19
3	3	9/2	0.375	1/8	1/8	2/4	1	1	3/32			1/16	3/2		0	72	C5	5	20
3	3	39/8	0.125	7/32	7/32	2/4	1	1	1/32			1/32	1		-4	68	Ab4	4	21
3	3	5	0.0625	1/4	1/4	2/4	1	1	1/64			1/64	1		-1	65	F4	4	22
3	3	81/16	0.0625	17/64	17/64	2/4	1	1	1/64			1/64	1		1	67	G4	4	23
3	3	41/8	0.0625	9/32	9/32	2/4	1	1	1/64			1/64	1		-4	68	Ab4	4	24
3	3	83/16	0.0625	19/64	19/64	2/4	1	1	1/64			1/64	1		-2	70	Bb4	4	25
3	3	21/4	0.0625	5/16	5/16	2/4	1	1	1/64			1/64	1		0	72	C5	5	26
3	3	85/16	0.0625	21/64	21/64	2/4	1	1	1/64			1/64	1		2	74	D5	5	27
3	3	43/8	0.0625	11/32	11/32	2/4	1	1	1/64			1/64	1		-3	75	Eb5	5	28
3	3	87/16	0.0625	23/64	23/64	2/4	1	1	1/64			1/64	1		-1	77	F5	5	29
3	3	11/2	0.375	3/8	3/8	2/4	1	1	3/32			1/16	3/2		1	79	G5	5	30
3	3	47/8	0.125	15/32	15/32	2/4	1	1	1/32			1/32	1		-1	77	F5	5	31
4	4	6	0.375	0	0	2/4	1	1	3/32			1/16	3/2		0	72	C5	5	32
4	4	51/8	0.125	3/32	3/32	2/4	1	1	1/32			1/32	1		-2	70	Bb4	4	33
4	4	13/2	0.375	1/8	1/8	2/4	1	1	3/32			1/16	3/2		1	67	G4	4	34
4	4	55/8	0.125	7/32	7/32	2/4	1	1	1/32			1/32	1		-1	65	F4	4	35
4	4	7	0.16666666666666666	1/4	1/4	2/4	1	1	1/24			1/16	2/3		0	60	C4	4	36
4	4	43/6	0.16666666666666666	7/24	7/24	2/4	1	1	1/24			1/16	2/3		2	62	D4	4	37
4	4	22/3	0.16666666666666666	1/3	1/3	2/4	1	1	1/24			1/16	2/3		-3	63	Eb4	4	38
