quarterbeats	duration_qb	mc	mn	mc_onset	mn_onset	timesig	staff	voice	duration	gracenote	tremolo	nominal_duration	scalar	tied	tpc	midi	chord_id
0	0.08333333333333333	1	1	0	0	4/8	2	1	1/48			1/32	2/3		-1	65	0
1/12	0.08333333333333333	1	1	1/48	1/48	4/8	2	1	1/48			1/32	2/3		1	67	1
1/6	0.08333333333333333	1	1	1/24	1/24	4/8	2	1	1/48			1/32	2/3		3	69	2
1/4	0.08333333333333333	1	1	1/16	1/16	4/8	2	1	1/48			1/32	2/3		-2	70	3
1/3	0.08333333333333333	1	1	1/12	1/12	4/8	2	1	1/48			1/32	2/3		-4	68	4
5/12	0.08333333333333333	1	1	5/48	5/48	4/8	2	1	1/48			1/32	2/3		-6	66	5
1/2	0.08333333333333333	1	1	1/8	1/8	4/8	2	1	1/48			1/32	2/3		-1	65	6
7/12	0.08333333333333333	1	1	7/48	7/48	4/8	2	1	1/48			1/32	2/3		1	67	7
2/3	0.08333333333333333	1	1	1/6	1/6	4/8	2	1	1/48			1/32	2/3		3	69	8
3/4	0.08333333333333333	1	1	3/16	3/16	4/8	2	1	1/48			1/32	2/3		-2	70	9
5/6	0.08333333333333333	1	1	5/24	5/24	4/8	2	1	1/48			1/32	2/3		-4	68	10
11/12	0.08333333333333333	1	1	11/48	11/48	4/8	2	1	1/48			1/32	2/3		-6	66	11
1	0.08333333333333333	1	1	1/4	1/4	4/8	2	1	1/48			1/32	2/3		-1	65	12
13/12	0.08333333333333333	1	1	13/48	13/48	4/8	2	1	1/48			1/32	2/3		1	67	13
7/6	0.08333333333333333	1	1	7/24	7/24	4/8	2	1	1/48			1/32	2/3		3	69	14
5/4	0.08333333333333333	1	1	5/16	5/16	4/8	2	1	1/48			1/32	2/3		-2	70	15
4/3	0.08333333333333333	1	1	1/3	1/3	4/8	2	1	1/48			1/32	2/3		-4	68	16
17/12	0.08333333333333333	1	1	17/48	17/48	4/8	2	1	1/48			1/32	2/3		-6	66	17
3/2	0.08333333333333333	1	1	3/8	3/8	4/8	2	1	1/48			1/32	2/3		-1	65	18
19/12	0.08333333333333333	1	1	19/48	19/48	4/8	2	1	1/48			1/32	2/3		1	67	19
5/3	0.08333333333333333	1	1	5/12	5/12	4/8	2	1	1/48			1/32	2/3		3	69	20
7/4	0.08333333333333333	1	1	7/16	7/16	4/8	2	1	1/48			1/32	2/3		-2	70	21
11/6	0.08333333333333333	1	1	11/24	11/24	4/8	2	1	1/48			1/32	2/3		-4	68	22
23/12	0.08333333333333333	1	1	23/48	23/48	4/8	2	1	1/48			1/32	2/3		-6	66	23
2	0.08333333333333333	2	2	0	0	4/8	2	1	1/48			1/32	2/3		-1	65	24
25/12	0.08333333333333333	2	2	1/48	1/48	4/8	2	1	1/48			1/32	2/3		1	67	25
13/6	0.08333333333333333	2	2	1/24	1/24	4/8	2	1	1/48			1/32	2/3		3	69	26
9/4	0.08333333333333333	2	2	1/16	1/16	4/8	2	1	1/48			1/32	2/3		-2	70	27
7/3	0.08333333333333333	2	2	1/12	1/12	4/8	2	1	1/48			1/32	2/3		-4	68	28
29/12	0.08333333333333333	2	2	5/48	5/48	4/8	2	1	1/48			1/32	2/3		-6	66	29
5/2	0.08333333333333333	2	2	1/8	1/8	4/8	2	1	1/48			1/32	2/3		-1	65	30
31/12	0.08333333333333333	2	2	7/48	7/48	4/8	2	1	1/48			1/32	2/3		1	67	31
8/3	0.08333333333333333	2	2	1/6	1/6	4/8	2	1	1/48			1/32	2/3		3	69	32
11/4	0.08333333333333333	2	2	3/16	3/16	4/8	2	1	1/48			1/32	2/3		-2	70	33
17/6	0.08333333333333333	2	2	5/24	5/24	4/8	2	1	1/48			1/32	2/3		-4	68	34
35/12	0.08333333333333333	2	2	11/48	11/48	4/8	2	1	1/48			1/32	2/3		-6	66	35
3	0.08333333333333333	2	2	1/4	1/4	4/8	2	1	1/48			1/32	2/3		-1	65	36
37/12	0.08333333333333333	2	2	13/48	13/48	4/8	2	1	1/48			1/32	2/3		1	67	37
19/6	0.08333333333333333	2	2	7/24	7/24	4/8	2	1	1/48			1/32	2/3		3	69	38
13/4	0.08333333333333333	2	2	5/16	5/16	4/8	2	1	1/48			1/32	2/3		-2	70	39
10/3	0.08333333333333333	2	2	1/3	1/3	4/8	2	1	1/48			1/32	2/3		-4	68	40
41/12	0.08333333333333333	2	2	17/48	17/48	4/8	2	1	1/48			1/32	2/3		-6	66	41
7/2	0.08333333333333333	2	2	3/8	3/8	4/8	2	1	1/48			1/32	2/3		-1	65	42
43/12	0.08333333333333333	2	2	19/48	19/48	4/8	2	1	1/48			1/32	2/3		1	67	43
11/3	0.08333333333333333	2	2	5/12	5/12	4/8	2	1	1/48			1/32	2/3		3	69	44
15/4	0.08333333333333333	2	2	7/16	7/16	4/8	2	1	1/48			1/32	2/3		-2	70	45
23/6	0.08333333333333333	2	2	11/24	11/24	4/8	2	1	1/48			1/32	2/3		-4	68	46
47/12	0.08333333333333333	2	2	23/48	23/48	4/8	2	1	1/48			1/32	2/3		-6	66	47
4	0.08333333333333333	3	3	0	0	4/8	2	1	1/48			1/32	2/3		-1	65	49
4	0.25	3	3	0	0	4/8	1	1	1/16			1/16	1		2	74	48
4	0.25	3	3	0	0	4/8	1	1	1/16			1/16	1		2	86	48
49/12	0.08333333333333333	3	3	1/48	1/48	4/8	2	1	1/48			1/32	2/3		1	67	50
25/6	0.08333333333333333	3	3	1/24	1/24	4/8	2	1	1/48			1/32	2/3		3	69	51
17/4	0.08333333333333333	3	3	1/16	1/16	4/8	2	1	1/48			1/32	2/3		-2	70	52
13/3	0.08333333333333333	3	3	1/12	1/12	4/8	2	1	1/48			1/32	2/3		-4	68	53
53/12	0.08333333333333333	3	3	5/48	5/48	4/8	2	1	1/48			1/32	2/3		-6	66	54
9/2	0.08333333333333333	3	3	1/8	1/8	4/8	2	1	1/48			1/32	2/3		-1	65	55
55/12	0.08333333333333333	3	3	7/48	7/48	4/8	2	1	1/48			1/32	2/3		1	67	56
14/3	0.08333333333333333	3	3	1/6	1/6	4/8	2	1	1/48			1/32	2/3		3	69	57
19/4	0.08333333333333333	3	3	3/16	3/16	4/8	2	1	1/48			1/32	2/3		-2	70	58
29/6	0.08333333333333333	3	3	5/24	5/24	4/8	2	1	1/48			1/32	2/3		-4	68	59
59/12	0.08333333333333333	3	3	11/48	11/48	4/8	2	1	1/48			1/32	2/3		-6	66	60
5	0.08333333333333333	3	3	1/4	1/4	4/8	2	1	1/48			1/32	2/3		-1	65	61
61/12	0.08333333333333333	3	3	13/48	13/48	4/8	2	1	1/48			1/32	2/3		1	67	62
31/6	0.08333333333333333	3	3	7/24	7/24	4/8	2	1	1/48			1/32	2/3		3	69	63
21/4	0.08333333333333333	3	3	5/16	5/16	4/8	2	1	1/48			1/32	2/3		-2	70	64
16/3	0.08333333333333333	3	3	1/3	1/3	4/8	2	1	1/48			1/32	2/3		-4	68	65
65/12	0.08333333333333333	3	3	17/48	17/48	4/8	2	1	1/48			1/32	2/3		-6	66	66
11/2	0.08333333333333333	3	3	3/8	3/8	4/8	2	1	1/48			1/32	2/3		-1	65	67
67/12	0.08333333333333333	3	3	19/48	19/48	4/8	2	1	1/48			1/32	2/3		1	67	68
17/3	0.08333333333333333	3	3	5/12	5/12	4/8	2	1	1/48			1/32	2/3		3	69	69
23/4	0.08333333333333333	3	3	7/16	7/16	4/8	2	1	1/48			1/32	2/3		-2	70	70
35/6	0.08333333333333333	3	3	11/24	11/24	4/8	2	1	1/48			1/32	2/3		-4	68	71
71/12	0.08333333333333333	3	3	23/48	23/48	4/8	2	1	1/48			1/32	2/3		-6	66	72
6	0.08333333333333333	4	4	0	0	4/8	2	1	1/48			1/32	2/3		-1	65	74
6	0.25	4	4	0	0	4/8	1	1	1/16			1/16	1		-4	80	73
6	0.25	4	4	0	0	4/8	1	1	1/16			1/16	1		-4	92	73
73/12	0.08333333333333333	4	4	1/48	1/48	4/8	2	1	1/48			1/32	2/3		1	67	75
37/6	0.08333333333333333	4	4	1/24	1/24	4/8	2	1	1/48			1/32	2/3		3	69	76
25/4	0.08333333333333333	4	4	1/16	1/16	4/8	2	1	1/48			1/32	2/3		-2	70	77
19/3	0.08333333333333333	4	4	1/12	1/12	4/8	2	1	1/48			1/32	2/3		-4	68	78
77/12	0.08333333333333333	4	4	5/48	5/48	4/8	2	1	1/48			1/32	2/3		-6	66	79
13/2	0.08333333333333333	4	4	1/8	1/8	4/8	2	1	1/48			1/32	2/3		-1	65	80
79/12	0.08333333333333333	4	4	7/48	7/48	4/8	2	1	1/48			1/32	2/3		1	67	81
20/3	0.08333333333333333	4	4	1/6	1/6	4/8	2	1	1/48			1/32	2/3		3	69	82
27/4	0.08333333333333333	4	4	3/16	3/16	4/8	2	1	1/48			1/32	2/3		-2	70	83
41/6	0.08333333333333333	4	4	5/24	5/24	4/8	2	1	1/48			1/32	2/3		-4	68	84
83/12	0.08333333333333333	4	4	11/48	11/48	4/8	2	1	1/48			1/32	2/3		-6	66	85
7	0.08333333333333333	4	4	1/4	1/4	4/8	2	1	1/48			1/32	2/3		-1	65	86
85/12	0.08333333333333333	4	4	13/48	13/48	4/8	2	1	1/48			1/32	2/3		1	67	87
43/6	0.08333333333333333	4	4	7/24	7/24	4/8	2	1	1/48			1/32	2/3		3	69	88
29/4	0.08333333333333333	4	4	5/16	5/16	4/8	2	1	1/48			1/32	2/3		-2	70	89
22/3	0.08333333333333333	4	4	1/3	1/3	4/8	2	1	1/48			1/32	2/3		-4	68	90
89/12	0.08333333333333333	4	4	17/48	17/48	4/8	2	1	1/48			1/32	2/3		-6	66	91
15/2	0.08333333333333333	4	4	3/8	3/8	4/8	2	1	1/48			1/32	2/3		-1	65	92
91/12	0.08333333333333333	4	4	19/48	19/48	4/8	2	1	1/48			1/32	2/3		1	67	93
23/3	0.08333333333333333	4	4	5/12	5/12	4/8	2	1	1/48			1/32	2/3		3	69	94
31/4	0.08333333333333333	4	4	7/16	7/16	4/8	2	1	1/48			1/32	2/3		-2	70	95
47/6	0.08333333333333333	4	4	11/24	11/24	4/8	2	1	1/48			1/32	2/3		-4	68	96
95/12	0.08333333333333333	4	4	23/48	23/48	4/8	2	1	1/48			1/32	2/3		-6	66	97
8	0.08333333333333333	5	5	0	0	4/8	2	1	1/48			1/32	2/3		-1	65	99
8	0.25	5	5	0	0	4/8	1	1	1/16			1/16	1		2	74	98
8	0.25	5	5	0	0	4/8	1	1	1/16			1/16	1		2	86	98
97/12	0.08333333333333333	5	5	1/48	1/48	4/8	2	1	1/48			1/32	2/3		1	67	100
49/6	0.08333333333333333	5	5	1/24	1/24	4/8	2	1	1/48			1/32	2/3		3	69	101
33/4	0.08333333333333333	5	5	1/16	1/16	4/8	2	1	1/48			1/32	2/3		-2	70	102
25/3	0.08333333333333333	5	5	1/12	1/12	4/8	2	1	1/48			1/32	2/3		-4	68	103
101/12	0.08333333333333333	5	5	5/48	5/48	4/8	2	1	1/48			1/32	2/3		-6	66	104
17/2	0.08333333333333333	5	5	1/8	1/8	4/8	2	1	1/48			1/32	2/3		-1	65	105
103/12	0.08333333333333333	5	5	7/48	7/48	4/8	2	1	1/48			1/32	2/3		1	67	106
26/3	0.08333333333333333	5	5	1/6	1/6	4/8	2	1	1/48			1/32	2/3		3	69	107
35/4	0.08333333333333333	5	5	3/16	3/16	4/8	2	1	1/48			1/32	2/3		-2	70	108
53/6	0.08333333333333333	5	5	5/24	5/24	4/8	2	1	1/48			1/32	2/3		-4	68	109
107/12	0.08333333333333333	5	5	11/48	11/48	4/8	2	1	1/48			1/32	2/3		-6	66	110
9	0.08333333333333333	5	5	1/4	1/4	4/8	2	1	1/48			1/32	2/3		-1	65	111
109/12	0.08333333333333333	5	5	13/48	13/48	4/8	2	1	1/48			1/32	2/3		1	67	112
55/6	0.08333333333333333	5	5	7/24	7/24	4/8	2	1	1/48			1/32	2/3		3	69	113
37/4	0.08333333333333333	5	5	5/16	5/16	4/8	2	1	1/48			1/32	2/3		-2	70	114
28/3	0.08333333333333333	5	5	1/3	1/3	4/8	2	1	1/48			1/32	2/3		-4	68	115
113/12	0.08333333333333333	5	5	17/48	17/48	4/8	2	1	1/48			1/32	2/3		-6	66	116
19/2	0.08333333333333333	5	5	3/8	3/8	4/8	2	1	1/48			1/32	2/3		-1	65	117
115/12	0.08333333333333333	5	5	19/48	19/48	4/8	2	1	1/48			1/32	2/3		1	67	118
29/3	0.08333333333333333	5	5	5/12	5/12	4/8	2	1	1/48			1/32	2/3		3	69	119
39/4	0.08333333333333333	5	5	7/16	7/16	4/8	2	1	1/48			1/32	2/3		-2	70	120
59/6	0.08333333333333333	5	5	11/24	11/24	4/8	2	1	1/48			1/32	2/3		-4	68	121
119/12	0.08333333333333333	5	5	23/48	23/48	4/8	2	1	1/48			1/32	2/3		-6	66	122
10	0.08333333333333333	6	6	0	0	4/8	2	1	1/48			1/32	2/3		-1	65	124
10	0.25	6	6	0	0	4/8	1	1	1/16			1/16	1		-4	80	123
10	0.25	6	6	0	0	4/8	1	1	1/16			1/16	1		-4	92	123
121/12	0.08333333333333333	6	6	1/48	1/48	4/8	2	1	1/48			1/32	2/3		1	67	125
61/6	0.08333333333333333	6	6	1/24	1/24	4/8	2	1	1/48			1/32	2/3		3	69	126
41/4	0.08333333333333333	6	6	1/16	1/16	4/8	2	1	1/48			1/32	2/3		-2	70	127
31/3	0.08333333333333333	6	6	1/12	1/12	4/8	2	1	1/48			1/32	2/3		-4	68	128
125/12	0.08333333333333333	6	6	5/48	5/48	4/8	2	1	1/48			1/32	2/3		-6	66	129
21/2	0.08333333333333333	6	6	1/8	1/8	4/8	2	1	1/48			1/32	2/3		-1	65	130
127/12	0.08333333333333333	6	6	7/48	7/48	4/8	2	1	1/48			1/32	2/3		1	67	131
32/3	0.08333333333333333	6	6	1/6	1/6	4/8	2	1	1/48			1/32	2/3		3	69	132
43/4	0.08333333333333333	6	6	3/16	3/16	4/8	2	1	1/48			1/32	2/3		-2	70	133
65/6	0.08333333333333333	6	6	5/24	5/24	4/8	2	1	1/48			1/32	2/3		-4	68	134
131/12	0.08333333333333333	6	6	11/48	11/48	4/8	2	1	1/48			1/32	2/3		-6	66	135
11	0.08333333333333333	6	6	1/4	1/4	4/8	2	1	1/48			1/32	2/3		-1	65	136
133/12	0.08333333333333333	6	6	13/48	13/48	4/8	2	1	1/48			1/32	2/3		1	67	137
67/6	0.08333333333333333	6	6	7/24	7/24	4/8	2	1	1/48			1/32	2/3		3	69	138
45/4	0.08333333333333333	6	6	5/16	5/16	4/8	2	1	1/48			1/32	2/3		-2	70	139
34/3	0.08333333333333333	6	6	1/3	1/3	4/8	2	1	1/48			1/32	2/3		-4	68	140
137/12	0.08333333333333333	6	6	17/48	17/48	4/8	2	1	1/48			1/32	2/3		-6	66	141
23/2	0.08333333333333333	6	6	3/8	3/8	4/8	2	1	1/48			1/32	2/3		-1	65	142
139/12	0.08333333333333333	6	6	19/48	19/48	4/8	2	1	1/48			1/32	2/3		1	67	143
35/3	0.08333333333333333	6	6	5/12	5/12	4/8	2	1	1/48			1/32	2/3		3	69	144
47/4	0.08333333333333333	6	6	7/16	7/16	4/8	2	1	1/48			1/32	2/3		-2	70	145
71/6	0.08333333333333333	6	6	11/24	11/24	4/8	2	1	1/48			1/32	2/3		-4	68	146
143/12	0.08333333333333333	6	6	23/48	23/48	4/8	2	1	1/48			1/32	2/3		-6	66	147
12	0.5	7	7	0	0	4/8	1	1	1/8			1/8	1		0	60	148
12	0.5	7	7	0	0	4/8	1	1	1/8			1/8	1		2	62	148
12	0.08333333333333333	7	7	0	0	4/8	2	1	1/48			1/32	2/3		-1	65	149
145/12	0.08333333333333333	7	7	1/48	1/48	4/8	2	1	1/48			1/32	2/3		1	67	150
73/6	0.08333333333333333	7	7	1/24	1/24	4/8	2	1	1/48			1/32	2/3		3	69	151
49/4	0.08333333333333333	7	7	1/16	1/16	4/8	2	1	1/48			1/32	2/3		-2	70	152
37/3	0.08333333333333333	7	7	1/12	1/12	4/8	2	1	1/48			1/32	2/3		-4	68	153
149/12	0.08333333333333333	7	7	5/48	5/48	4/8	2	1	1/48			1/32	2/3		-6	66	154
25/2	0.08333333333333333	7	7	1/8	1/8	4/8	2	1	1/48			1/32	2/3		-1	65	155
151/12	0.08333333333333333	7	7	7/48	7/48	4/8	2	1	1/48			1/32	2/3		1	67	156
38/3	0.08333333333333333	7	7	1/6	1/6	4/8	2	1	1/48			1/32	2/3		3	69	157
51/4	0.08333333333333333	7	7	3/16	3/16	4/8	2	1	1/48			1/32	2/3		-2	70	158
77/6	0.08333333333333333	7	7	5/24	5/24	4/8	2	1	1/48			1/32	2/3		-4	68	159
155/12	0.08333333333333333	7	7	11/48	11/48	4/8	2	1	1/48			1/32	2/3		-6	66	160
13	0.5	7	7	1/4	1/4	4/8	3	1	1/8			1/8	1		-4	32	170
53/4	0.08333333333333333	7	7	5/16	5/16	4/8	2	1	1/48			1/32	2/3		-2	70	161
40/3	0.08333333333333333	7	7	1/3	1/3	4/8	2	1	1/48			1/32	2/3		-4	68	162
161/12	0.08333333333333333	7	7	17/48	17/48	4/8	2	1	1/48			1/32	2/3		-6	66	163
27/2	0.08333333333333333	7	7	3/8	3/8	4/8	2	1	1/48			1/32	2/3		-1	65	164
163/12	0.08333333333333333	7	7	19/48	19/48	4/8	2	1	1/48			1/32	2/3		1	67	165
41/3	0.08333333333333333	7	7	5/12	5/12	4/8	2	1	1/48			1/32	2/3		3	69	166
55/4	0.08333333333333333	7	7	7/16	7/16	4/8	2	1	1/48			1/32	2/3		-2	70	167
83/6	0.08333333333333333	7	7	11/24	11/24	4/8	2	1	1/48			1/32	2/3		-4	68	168
167/12	0.08333333333333333	7	7	23/48	23/48	4/8	2	1	1/48			1/32	2/3		-6	66	169
14	0.08333333333333333	8	8	0	0	4/8	2	1	1/48			1/32	2/3		-1	65	172
14	0.5	8	8	0	0	4/8	1	1	1/8			1/8	1		2	74	171
14	0.5	8	8	0	0	4/8	1	1	1/8			1/8	1		0	84	171
14	0.5	8	8	0	0	4/8	1	1	1/8			1/8	1		2	86	171
169/12	0.08333333333333333	8	8	1/48	1/48	4/8	2	1	1/48			1/32	2/3		1	67	173
85/6	0.08333333333333333	8	8	1/24	1/24	4/8	2	1	1/48			1/32	2/3		3	69	174
57/4	0.08333333333333333	8	8	1/16	1/16	4/8	2	1	1/48			1/32	2/3		-2	70	175
43/3	0.08333333333333333	8	8	1/12	1/12	4/8	2	1	1/48			1/32	2/3		-4	68	176
173/12	0.08333333333333333	8	8	5/48	5/48	4/8	2	1	1/48			1/32	2/3		-6	66	177
29/2	0.08333333333333333	8	8	1/8	1/8	4/8	2	1	1/48			1/32	2/3		-1	65	178
