fname	last_mc	last_mn	length_qb	length_qb_unfolded	all_notes_qb	n_onsets	n_onset_positions	TimeSig	KeySig	label_count	composed_start	composed_end	composer	workTitle	movementNumber	movementTitle	workNumber	poet	lyricist	arranger	copyright	creationDate	mscVersion	platform	source	translator	musescore	ambitus	comment	pdf	typesetter	subdirectory	rel_path	originalFormat	staff_1_instrument	staff_1_ambitus	staff_2_instrument	staff_2_ambitus	staff_3_instrument	staff_3_ambitus
l117-01_preludes_danseuses	31	31	97.0	97.0	756.0	822	171	1: 3/4	1: -2	0	1909	1909										2022-03-10	3.02	Microsoft Windows	https://musescore.com/nicolas/scores/101607		3.6.2	22-96 (Bb0-C7)	layout completely screwed unless viewed on musescore.com	https://imslp.org/wiki/Special:ReverseLookup/521885	https://musescore.com/nicolas	MS3	MS3/l117-01_preludes_danseuses.mscx		Piano	50-96 (D3-C7)	Piano	22-76 (Bb0-E5)		
l117-02_preludes_voiles	64	64	128.0	128.0	471.75	965	514	1: 2/4	1: 0, 42: -5, 48: 0	0	1909	1909	Claude Debussy									2021-10-20		Apple Macintosh	http://musescore.com/user/18230801/scores/7074797		3.6.2	34-98 (Bb1-D7)			https://musescore.com/user/18230801	MS3	MS3/l117-02_preludes_voiles.mscx		Piano	48-98 (C3-D7)	Piano	34-86 (Bb1-D6)		
l117-03_preludes_vent	59	59	236.0	236.0	764.0	1678	1229	1: 4/4	1: -6, 21: 0, 28: -6, 33: 0, 44: -6	0	1909	1909	Claude Debussy	Le Vent dans la plaine								2020-05-24	3.02	Apple Macintosh	http://musescore.com/user/6053266/scores/6170327		3.6.2	27-95 (Eb1-B6)			https://musescore.com/derek_john_benton	MS3	MS3/l117-03_preludes_vent.mscx		Grand Piano	34-95 (Bb1-B6)	Grand Piano	27-76 (Eb1-E5)		
l117-04_preludes_sons	53	53	181.5	181.5	935.33	1149	368	1: 5/4, 3: 3/4, 24: 5/4, 29: 3/4, 30: 5/4, 31: 3/4, 44: 5/4, 46: 3/4, 49: 5/4, 50: 3/4	1: 3, 27: -4, 37: 3	0	1910	1910	Claude Debussy									2022-01-26	3.02	Linux	https://musescore.com/nicolas/scores/86980		3.6.2	21-99 (A0-D#7)			https://musescore.com/nicolas	MS3	MS3/l117-04_preludes_sons.mscx		Part_1	32-99 (Ab1-D#7)	Part_1	21-75 (A0-D#5)		
l117-05_preludes_collines	96	96	256.0	256.0	990.85	1660	907	1: 12/16, 2: 2/4, 3: 12/16, 4: 2/4, 5: 12/16, 7: 2/4, 10: 12/16, 17: 6/16, 18: 12/16, 39: 2/4, 49: 6/8, 66: 12/16, 70: 6/16, 71: 12/16, 81: 2/4	1: 5	0	1909	1909	Claude Debussy	Les collines d'Anacapri								2020-03-14	3.02	Apple Macintosh	http://musescore.com/user/23335511/scores/6078729		3.6.2	28-95 (E1-B6)			https://musescore.com/user/23335511	MS3	MS3/l117-05_preludes_collines.mscx		Piano	49-95 (C#3-B6)	Piano	28-85 (E1-C#6)		
l117-06_preludes_pas	36	36	142.0	142.0	535.17	391	221	1: 4/4, 13: 2/4, 14: 4/4	1: -1	0	1909	1909	Claude Debussy									2022-01-26		Linux	https://musescore.com/nicolas/scores/86941		3.6.2	26-89 (D1-F6)			https://musescore.com/nicolas	MS3	MS3/l117-06_preludes_pas.mscx	mxl	Piano	52-89 (E3-F6)	Piano	26-80 (D1-Ab5)		
l117-07_preludes_ce	77	70	272.0	272.0	1226.54	2285	1380	1: 4/4, 38: 3/4, 48: 4/4, 75: 3/4, 76: 4/4	1: 3, 26: 0, 38: 3	0	1909	1910	Claude Debussy									2021-08-28		Microsoft Windows	http://musescore.com/user/36526887/scores/7013623		3.6.2	23-99 (B0-D#7)			https://musescore.com/user/36526887	MS3	MS3/l117-07_preludes_ce.mscx		Piano	36-99 (C2-D#7)	Piano	23-92 (B0-G#6)		
l117-08_preludes_fille	39	39	117.0	117.0	657.25	591	242	1: 3/4	1: -6	0	1910	1910	Claude Debussy									2019-02-16	3.02	Microsoft Windows	https://musescore.com/r_d/scores/5449385		3.6.2	30-90 (Gb1-Gb6)			https://musescore.com/r_d	MS3	MS3/l117-08_preludes_fille.mscx		Piano	51-90 (Eb3-Gb6)	Piano	30-73 (Gb1-Db5)		
l117-09_preludes_serenade	137	137	209.5	209.5	451.75	1309	750	1: 3/8, 80: 2/4, 85: 3/8, 87: 2/4, 90: 3/8	1: -5, 46: 0, 50: -5, 80: 2, 85: -5, 87: 2, 90: -5	0	1909	1910	Claude Debussy	La Serenade Interrompue								2020-04-12	3.02	Apple Macintosh	http://musescore.com/user/23335511/scores/6084245		3.6.2	34-84 (Bb1-C6)			https://musescore.com/user/23335511	MS3	MS3/l117-09_preludes_serenade.mscx		Piano	37-84 (Db2-C6)	Piano	34-67 (Bb1-G4)		
l117-10_preludes_cathedrale	89	89	534.0	534.0	3835.25	1707	511	1: 3/2	1: 0, 47: 4	0	1909	1910	Claude Debussy	La Cathédrale engloutie								2021-10-15		Linux	http://musescore.com/user/38837413/scores/7079966		3.6.2	23-95 (B0-B6)			http://musescore.com/user/38837413	MS3	MS3/l117-10_preludes_cathedrale.mscx		Piano	36-95 (C2-B6)	Piano	23-76 (B0-E5)		
l117-11_preludes_danse	96	96	199.0	199.0	677.83	1489	884	1: 2/4, 32: 3/4, 38: 2/4, 40: 3/4, 41: 2/4	1: -3, 53: 0, 63: -3, 77: 0, 87: -3	0	1910	1910										2022-02-12		Microsoft Windows			3.6.2	27-91 (Eb1-G6)		https://imslp.org/wiki/Special:ReverseLookup/246412	tunescribers.com	MS3	MS3/l117-11_preludes_danse.mscx		Piano	52-91 (E3-G6)	Piano	27-87 (Eb1-Eb6)	Piano	27-27 (Eb1-Eb1)
l117-12_preludes_minstrels	89	89	178.0	178.0	590.0	1197	508	1: 2/4	1: 1	0	1910	1910	Claude Debussy	Prelude								2020-04-23	3.02	Microsoft Windows	http://musescore.com/user/6053266/scores/6106422		3.6.2	24-86 (C1-D6)			https://musescore.com/derek_john_benton	MS3	MS3/l117-12_preludes_minstrels.mscx		Grand Piano	35-86 (B1-D6)	Grand Piano	24-68 (C1-Ab4)		
l123-01_preludes_brouillards	52	52	105.0	105.0	436.36	1309	818	1: 4/8, 3: 3/8, 4: 3/4, 5: 4/8, 24: 3/4, 25: 4/8, 26: 3/8, 27: 4/8	1: 0	0	1910	1912	Claude Debussy	Brouillards								2020-06-09	3.02	Apple Macintosh	http://musescore.com/user/6053266/scores/6197179		3.6.2	36-94 (C2-A#6)		https://imslp.org/wiki/Special:ReverseLookup/521885	https://musescore.com/derek_john_benton	MS3	MS3/l123-01_preludes_brouillards.mscx		Grand Piano	43-93 (G2-A6)	Grand Piano	36-94 (C2-A#6)	Grand Piano	36-74 (C2-D5)
l123-02_preludes_feuilles	52	52	127.0	127.0	810.5	686	225	1: 3/4, 5: 2/4, 6: 3/4, 12: 2/4, 15: 3/4, 18: 2/4, 41: 3/4, 45: 2/4, 47: 3/4	1: 4	0	1910	1912	Claude Debussy	Feuilles mortes								2020-06-08	3.02	Apple Macintosh	http://musescore.com/user/6053266/scores/6195188		3.6.2	25-97 (C#1-C#7)		https://imslp.org/wiki/Special:ReverseLookup/510	https://musescore.com/derek_john_benton	MS3	MS3/l123-02_preludes_feuilles.mscx		Grand Piano	45-97 (A2-C#7)	Grand Piano	33-81 (A1-A5)	Grand Piano	25-64 (C#1-E4)
l123-03_preludes_puerta	90	90	180.0	180.0	822.52	1006	519	1: 2/4	1: -5	0	1910	1912	Claude Debussy	La puerta del vino								2020-06-05	3.02	Apple Macintosh	http://musescore.com/user/6053266/scores/6194473		3.6.2	25-87 (Db1-Eb6)		https://imslp.org/wiki/Special:ReverseLookup/510	https://musescore.com/derek_john_benton	MS3	MS3/l123-03_preludes_puerta.mscx		Grand Piano	34-87 (Bb1-Eb6)	Grand Piano	34-81 (Bb1-A5)	Grand Piano	25-46 (Db1-Bb2)
l123-04_preludes_fees	127	127	190.75	190.75	840.3	1465	947	1: 3/8	1: -5, 32: 4, 42: -5, 73: 0, 101: -5	0	1910	1912	Claude Debussy	"""Les fees sont d'exquises danseuses"""								2020-06-04	3.02	Apple Macintosh	http://musescore.com/user/6053266/scores/6189705		3.6.2	31-92 (G1-G#6)		https://imslp.org/wiki/Special:ReverseLookup/510	https://musescore.com/derek_john_benton	MS3	MS3/l123-04_preludes_fees.mscx		Grand Piano	46-92 (Bb2-G#6)	Grand Piano	39-87 (Eb2-Eb6)	Grand Piano	31-75 (G1-Eb5)
l123-05_preludes_bruyeres	51	51	155.0	155.0	806.75	785	462	1: 3/4, 16: 5/4, 17: 3/4	1: -4, 23: -2, 38: -4	0	1910	1912	Claude Debussy	Bruyeres								2020-06-03	3.02	Apple Macintosh	http://musescore.com/user/6053266/scores/6187793		3.6.2	25-93 (Db1-A6)		https://imslp.org/wiki/Special:ReverseLookup/510	https://musescore.com/derek_john_benton	MS3	MS3/l123-05_preludes_bruyeres.mscx		Grand Piano	53-93 (F3-A6)	Grand Piano	39-75 (Eb2-Eb5)	Grand Piano	25-61 (Db1-Db4)
